"datatype","label","instanceType","uuid:ID","id","isEnabled","isRequired","name"
"text","DSDECOD","BiomedicalConceptProperty","c698fd12-7a2d-406c-b924-5125b706c9db","BiomedicalConceptProperty_116","True","True","DSDECOD"
"text","DSTERM","BiomedicalConceptProperty","1e313396-ca5a-4e86-873e-8d5c72bea98b","BiomedicalConceptProperty_117","True","True","DSTERM"
"datetime","DSSTDTC","BiomedicalConceptProperty","cfbfe187-7cac-477b-9cb2-c826aa50ba24","BiomedicalConceptProperty_118","True","True","DSSTDTC"
"string","Sex","BiomedicalConceptProperty","55136698-7400-465d-b89d-0360094c98a1","BiomedicalConceptProperty_119","True","True","Sex"
"string","Race","BiomedicalConceptProperty","cc471961-168a-442a-b0b7-39a2503b5787","BiomedicalConceptProperty_120","True","True","Race"
"","VSTESTCD","BiomedicalConceptProperty","adca1e51-76f1-4f07-afe3-3aa2caca82e1","BiomedicalConceptProperty_121","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","79212d9d-309d-4054-b4cf-ad95baa44fe7","BiomedicalConceptProperty_122","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","f86c859a-96d1-414a-a6fb-3bd0c72437dd","BiomedicalConceptProperty_123","True","True","VSORRESU"
"","VSLOC","BiomedicalConceptProperty","143958c0-c339-417a-bb9c-524888ce6378","BiomedicalConceptProperty_124","True","True","VSLOC"
"","VSTESTCD","BiomedicalConceptProperty","e2f11ff9-5c5a-4d71-b0ba-837713600e40","BiomedicalConceptProperty_125","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","189d3459-bfa5-4f77-8dbb-f43907cf1d1d","BiomedicalConceptProperty_126","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","02b3ec2a-afa8-420a-9096-08dead9467ad","BiomedicalConceptProperty_127","True","True","VSORRESU"
"","VSTESTCD","BiomedicalConceptProperty","48134332-46a8-476f-b753-368782c126bd","BiomedicalConceptProperty_128","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","64f11d90-2a52-4cfb-8787-6c031a2f00d6","BiomedicalConceptProperty_129","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","29a088ae-b8bb-4080-99cf-47fc2eecda8d","BiomedicalConceptProperty_130","True","True","VSORRESU"
"","LBTESTCD","BiomedicalConceptProperty","4a59c778-7d66-4d5a-a008-75a0c77f6b14","BiomedicalConceptProperty_131","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","5ff7dac2-087b-4b37-8aa7-6be9e2138283","BiomedicalConceptProperty_132","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","3596e84d-da8a-4a54-98d9-990b49099597","BiomedicalConceptProperty_133","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","1c50186f-db36-471e-8015-929e875b7b43","BiomedicalConceptProperty_134","True","True","LBSPEC"
