"label","instanceType","uuid:ID","id","description","name"
"Screening 1","Encounter","fffd9a7d-1713-4949-bf14-07142517e93a","Encounter_1","Screening encounter","E1"
"Screening 2","Encounter","98fdeb40-a6c9-484b-af0c-a51250ac540e","Encounter_2","Screening encounter - Ambulatory ECG Placement","E2"
"Baseline","Encounter","8c7da3b8-b736-41b3-bf0d-47676e1e57e3","Encounter_3","Baseline encounter - Ambulatory ECG Removal","E3"
"Week 2","Encounter","bafede65-229c-434f-a717-f19eca28ef39","Encounter_4","Day 14","E4"
"Week 4","Encounter","db8e5158-b0f8-4388-90c8-44b8ddf0dd56","Encounter_5","Day 28","E5"
"Week 6","Encounter","7cbdaca4-25f7-4728-80bf-39e2e895d435","Encounter_6","Day 42","E7"
"Week 8","Encounter","edae8974-8fa7-4b6b-ba2c-93679255596d","Encounter_7","Day 56","E8"
"Week 12","Encounter","4e76d570-1e9d-4909-8195-0f49d71df3bf","Encounter_8","Day 84","E9"
"Week 16","Encounter","e48e2eff-d549-442f-94c0-dd48da5c31a2","Encounter_9","Day 112","E10"
"Week 20","Encounter","93ff350a-bb69-496a-8680-afa0a81fe97c","Encounter_10","Day 140","E11"
"Week 24","Encounter","1289822f-dfc2-4913-be5a-fe69647c40d1","Encounter_11","Day 168","E12"
"Week 26","Encounter","a535b7fb-c86a-4571-aa5e-b23f9d7aff54","Encounter_12","Day 182","E13"
