"text","instanceType","uuid:ID","id","name"
"Subject identifier","TransitionRule","ea320c08-2f0f-429a-b201-efd53f2065f5","TransitionRule_1","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule","db5cb674-be65-46ac-9aff-f52e58a99bbe","TransitionRule_2","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","a329dd61-612e-47db-88a6-3c641e008a6b","TransitionRule_3","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule","18953736-2d36-467f-b639-6f38e04b7e9d","TransitionRule_4","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule","88520761-4227-477e-8911-023f28748242","TransitionRule_5","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule","af8f06fb-4909-4605-a279-d6c711468f37","TransitionRule_6","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule","2ee934dd-54c2-4ab3-a982-915f5fec53e1","TransitionRule_7","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","c6ac6698-2e75-42df-a992-edd7b32611fc","TransitionRule_8","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule","e60c7878-401c-4784-af37-94032c46205a","TransitionRule_9","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule","45bca957-6aa2-40fe-9893-0ba82d550aad","TransitionRule_14","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","c4b63af4-a6cf-45d6-9a32-81fac849a717","TransitionRule_15","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule","501d24cf-75ff-441f-82a7-5dbf2b3b4768","TransitionRule_10","ELEMENT_START_RULE_3"
"Randomized","TransitionRule","3b08d0f8-4317-426c-a4c4-938f87373124","TransitionRule_11","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","aaab56aa-674e-4dd4-9515-e4b0e89cc99e","TransitionRule_12","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","83e80fb2-ec74-411a-8972-5c61dd06ee50","TransitionRule_13","ELEMENT_START_RULE_6"
