"description","id","label","instanceType","name","uuid:ID"
"","Activity_1","Informed consent","Activity","Informed consent","423c994e-c2b9-48c1-9116-c80239dbacb7"
"","Activity_2","Inclusion and exclusion criteria","Activity","Inclusion/exclusion criteria","e2dc2070-4061-4e51-ad85-a9f37ef56431"
"","Activity_3","Patient number assigned","Activity","Patient number assigned","ebebf7a7-7427-450d-8fa0-bb61d4a2bb20"
"","Activity_4","Demographics","Activity","Demographics","b90e02f3-cf6d-47f0-8f11-2f7ad7480531"
"","Activity_5","Hachinski Ischemic Scale","Activity","Hachinski","dda94040-a1f7-46a7-bc1c-71a85ecd682c"
"","Activity_6","MMSE","Activity","MMSE","17147020-76e3-490b-acdc-db2ea700cdd1"
"","Activity_7","Physical examination","Activity","Physical examination","933939a0-fd78-4c73-9d6d-14d4908971a6"
"","Activity_8","Medical history","Activity","Medical history","42605340-6258-478e-b0d5-05dc81ee37e3"
"","Activity_9","Habits","Activity","Habits","b86c36da-9d01-4ca8-bdbb-406dbb56f551"
"","Activity_10","Chest X-ray","Activity","Chest X-ray","60b8e970-3dee-4284-b3dc-61182a7da386"
"","Activity_11","Apo E genotyping","Activity","Apo E genotyping","43d4850b-84b0-47a8-b53f-cf855d37868f"
"","Activity_12","Patient randomised","Activity","Patient randomised","95f92177-85db-482f-a7ab-d7ac72847c15"
"","Activity_13","Vital Signs and Temperature","Activity","Vital signs / Temperature","bee30cb5-0e51-48de-beb5-6108afddea0d"
"","Activity_14","Ambulatory ECG placed","Activity","Ambulatory ECG placed","6a653644-f8da-4d74-90b4-ec6e06c47dce"
"","Activity_15","Ambulatory ECG removed","Activity","Ambulatory ECG removed","a005b06d-0684-4f60-a53c-eb937fee1903"
"","Activity_16","ECG","Activity","ECG","5bbb4a1f-6a1e-4180-a932-15a6192e8dd3"
"","Activity_17","Placebo TTS test","Activity","Placebo TTS test","a15c5f38-9aba-4368-8a46-605f53bec028"
"","Activity_18","CT scan","Activity","CT scan","f2cf3ecd-07e7-4e07-aeea-1debd3b6eac7"
"","Activity_19","Concomitant medications","Activity","Concomitant medications","319ea374-eb11-481c-bb2a-84ebf1af95f8"
"","Activity_20","Hematology","Activity","Hematology","8787a2fc-bc27-4448-9e3c-ad934792929f"
"","Activity_21","Chemistry","Activity","Chemistry","71f51da7-eda1-4b25-a63c-77c7f1a62beb"
"","Activity_22","Uninalysis","Activity","Uninalysis","afdc18d9-e770-47f9-946f-6f8148204d14"
"","Activity_23","Plasma Specimen (Xanomeline)","Activity","Plasma Specimen (Xanomeline)","29f09f33-565f-43e2-a63a-3da59ba70a5c"
"","Activity_24","Hemoglobin A1C","Activity","Hemoglobin A1C","3f285875-4d59-487c-a212-4f33f280372e"
"","Activity_25","Study drug record , Medications dispensed, Medications returned","Activity","Study drug","3b044568-33fe-4f84-991f-0a31c39c324f"
"","Activity_26","TTS Acceptability Survey","Activity","TTS Acceptability Survey","c5a5b014-7011-474e-ae3e-04e6c358a9ab"
"","Activity_27","ADAS-Cog","Activity","ADAS-Cog","715e9a97-1feb-477d-ac18-bdd8ba376776"
"","Activity_28","CIBIC+","Activity","CIBIC+","d40c27d6-74a5-406a-bab5-322ca396fccd"
"","Activity_29","DAD","Activity","DAD","29778c19-f36c-4f0c-bd09-354ca14a347f"
"","Activity_30","NPI-X","Activity","NPI-X","845de432-5525-464e-951a-f5eca6bd418e"
"","Activity_31","Adverse events","Activity","Adverse events","6fc9aeac-218a-431c-884b-b21d496b1649"
"","Activity_32","Check adverse events","Activity","Check adverse events","ae77b167-e2ed-47bd-b1c7-12808bc252f1"
"","Activity_33","Subject supine","Activity","Supine","4cbbef17-d537-48ce-995c-1cfa4029b6a0"
"","Activity_34","Vital signs while supine","Activity","Vital Signs Supine","7e580175-94d9-4443-9106-ac2e5cb09c5b"
"","Activity_35","Subject Standing","Activity","Stand","83f2c272-d5e8-4fdd-b006-962c6dc9c1fa"
"","Activity_36","Vital signs while standing","Activity","Vital Signs Standing","10718a7f-1cb2-49be-9d30-0c07a3eebe30"
