"description","id","label","name","purpose","instanceType","text","uuid:ID"
"","Endpoint_1","","END1","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","45105d3f-4514-4f91-b609-559cc914e3cc"
"","Endpoint_2","","END2","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","8a732378-848f-44e8-aaac-6e4d95ce1121"
"","Endpoint_3","","END3","","Endpoint","Adverse events","8804be03-1042-4184-aa64-2bf97d3930a9"
"","Endpoint_4","","END4","","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)","040932be-78ed-4f4b-845c-91715019f6fa"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","","END5","","Endpoint","Laboratory evaluations (Change from Baseline)","39916f33-7c86-40d5-a81b-f6a27c48ad9a"
"","Endpoint_6","","END6","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","add721a9-d589-45ff-8d3e-0beb1e2d0e82"
"","Endpoint_7","","END7","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","8d890ba5-c020-4cdb-a34b-74408ca0ab02"
"","Endpoint_8","","END8","","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","f6b23a8d-eb0f-46b5-8a76-2fc8f6307605"
"","Endpoint_9","","END9","","Endpoint","*** To be determined from protocol ***","de672732-89ae-4a4b-87a6-54ded789eba5"
"","Endpoint_10","","END10","","Endpoint","*** To be determined from protocol ***","ec59a505-ef31-4c99-8214-739086566608"
"","Endpoint_11","","END11","","Endpoint","*** To be determined from protocol ***","c652b673-5976-49a5-9dbb-ccaa39be087a"
