"instanceType","name","synonyms","label","id","reference","uuid:ID"
"BiomedicalConcept","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","f322fb0b-2988-4881-b5c9-542e87322762"
"BiomedicalConcept","Sex","","Sex","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","3e298777-b701-4ef1-9a49-b46a0efc1cad"
"BiomedicalConcept","Race","['Racial Group']","Race","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","977cb86d-ce0a-4cd8-a496-eee87400bced"
"BiomedicalConcept","Temperature","['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","a3f28866-37f4-468e-aecf-b55c9fe310ef"
"BiomedicalConcept","Weight","['Weight', 'Body Weight']","Weight","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","e5d1a731-f622-400b-877f-0dfe782ca54e"
"BiomedicalConcept","Height","['Height', 'Body Height']","Height","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","b385a6b7-edda-4acf-ba1f-c8ffd1d4963f"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","35c4ca0e-c374-495b-98f6-092b719727fe"
"BiomedicalConcept","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","6e955ea8-9f70-42d0-88c6-df162d2775c5"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","f7fa4358-0789-47cf-8d29-56485c32ac6c"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","012ae8ec-c86a-441b-b0c4-a59c2454e3de"
"BiomedicalConcept","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","950b6660-7987-446a-bd63-89f59d0afccc"
"BiomedicalConcept","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","482562ec-bfdf-49ca-8848-f707e901d618"
"BiomedicalConcept","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","da07c389-1709-4f0d-aaa1-23dee18473dd"
