"codeSystem","instanceType","decode","code","codeSystemVersion","id","uuid:ID"
"http://www.cdisc.org","Code","Interventional Study","C98388","2023-12-15","Code_1","113a360c-ffd2-44ba-b642-507caf811bf8"
"http://www.cdisc.org","Code","Phase II Trial","C15601","2023-12-15","Code_2","1ec65f29-0c5a-4741-9c6b-0632e7b150aa"
"http://www.cdisc.org","Code","Sponsor Approval Date","C132352","2023-12-15","Code_9","1f83581f-4096-47f7-97fd-bfc9b18fdcf6"
"http://www.cdisc.org","Code","Global","C68846","2023-12-15","Code_10","c283a0d0-e2a1-4f22-b21b-e593445489bc"
"http://www.cdisc.org","Code","IRB/IEC Feedback","C99904x3","2023-12-15","Code_72","6a16948f-f561-4a75-9150-34cac4759e96"
"http://www.cdisc.org","Code","Other","C17649","2023-12-15","Code_73","f86387d6-9fbb-47c5-836d-7d419585ca5d"
"http://www.cdisc.org","Code","Region","C41129","2023-12-15","Code_75","bc99f007-5c78-4172-8dec-51bba91c920d"
"ISO 3166 1 alpha3","Code","Europe","150","2020-08","Code_74","67d7b2a7-923b-47ae-8e2b-39dd3c9504cb"
"SPONSOR","Code","Eli Lilly","PHARMA","12","Code_4","8fb411f1-59a4-418e-a4ee-921dc260c544"
"http://www.cdisc.org","Code","Clinical Study Sponsor","C70793","2023-12-15","Code_76","bf0bcbef-5d79-4409-9f0c-06dfea0073a8"
"ISO 3166 1 alpha3","Code","United States of America","USA","2020-08","Code_77","69a50f77-735f-4435-b7f9-2b3e8eacdb7c"
"http://www.cdisc.org","Code","Study Registry","C93453","2023-12-15","Code_78","bbbfa478-80d6-44fd-a4a3-cfd694e178fe"
"ISO 3166 1 alpha3","Code","United States of America","USA","2020-08","Code_79","3b4802db-0cb5-4323-80e8-ce85a2efafcf"
"http://www.cdisc.org","Code","Treatment Study","C49656","2023-12-15","Code_137","eaf34804-7965-4f1a-95ec-a2ca4212102a"
"http://www.cdisc.org","Code","Efficacy Study","C49666","2023-12-15","Code_138","8b463f24-8a95-4441-a55a-4dbaf268342c"
"http://www.cdisc.org","Code","Safety Study","C49667","2023-12-15","Code_139","17634e6f-7540-4221-b535-90ac8ca9c37a"
"http://www.cdisc.org","Code","Pharmacokinetic Study","C49663","2023-12-15","Code_140","55cfc9e5-7135-4c4b-9788-f3e5611ee5f1"
"SPONSOR","Code","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","12","Code_134","b2e719b7-6f7a-440a-8221-a072b71daa78"
"SNOMED","Code","Alzheimer's disease","26929004","January 31, 2018","Code_135","064c1980-bee7-4d13-a0ad-1d8b38384f6a"
"http://www.cdisc.org","Code","EXTENSION","C99907x1","2023-12-15","Code_143","fbb7deb3-e80a-409a-839d-7adbe21d4ab1"
"http://www.cdisc.org","Code","ADAPTIVE","C98704","2023-12-15","Code_144","8a195307-118b-4182-8ca1-123372d33be1"
"http://www.cdisc.org","Code","Parallel Study","C82639","2023-12-15","Code_141","170351b3-6d1e-423a-9260-7649293b8340"
"http://www.cdisc.org","Code","Visit","C25716","2023-12-15","Code_83","e6d76909-72a4-4e0b-9606-cd9561daf0da"
"http://www.cdisc.org","Code","Clinic","C51282","2023-12-15","Code_84","86edb6ab-656b-4c4c-876b-3a98e0a0ebc3"
