"instanceType","description","name","label","id","uuid:ID"
"Encounter","Screening encounter","E1","Screening 1","Encounter_1","c05f280a-3896-4fb1-8fef-1cd6fa345c85"
"Encounter","Screening encounter - Ambulatory ECG Placement","E2","Screening 2","Encounter_2","fac1ffcd-b73b-4317-b942-2632c3b68bf2"
"Encounter","Baseline encounter - Ambulatory ECG Removal","E3","Baseline","Encounter_3","4854e2b6-6097-4bfd-b6a1-7c2dbb8f3baf"
"Encounter","Day 14","E4","Week 2","Encounter_4","335a4f53-9342-48dc-ab0b-b15e417aea44"
"Encounter","Day 28","E5","Week 4","Encounter_5","44e96711-c211-4b6c-8a77-6a58de8dcb3e"
"Encounter","Day 42","E7","Week 6","Encounter_6","fdfa380f-c463-471b-af39-e49accac1646"
"Encounter","Day 56","E8","Week 8","Encounter_7","4ae0eacd-b6ce-482e-818d-e47a4d90c0cf"
"Encounter","Day 84","E9","Week 12","Encounter_8","9f3b994c-78a2-4590-af08-0d297f18685b"
"Encounter","Day 112","E10","Week 16","Encounter_9","14f844c2-2ea5-4dc9-a64b-fe4906042c7a"
"Encounter","Day 140","E11","Week 20","Encounter_10","bd76c19f-ef1f-4b3b-90a4-446a1fd3d7c3"
"Encounter","Day 168","E12","Week 24","Encounter_11","7381b281-77c7-49fe-a036-c0f32ea014eb"
"Encounter","Day 182","E13","Week 26","Encounter_12","3ba923f6-33b8-47c1-9fc5-c8fbd2f4a4ed"
