"instanceType","description","text","name","purpose","label","id","uuid:ID"
"Endpoint","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","END1","","","Endpoint_1","11cbb2d7-ba0d-4587-8adf-aee15a871763"
"Endpoint","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","END2","","","Endpoint_2","a98d2cf8-4599-461d-affc-1efd7d22a171"
"Endpoint","","Adverse events","END3","","","Endpoint_3","8ea6a301-b89b-4525-9894-fc3f4feeb789"
"Endpoint","","Vital signs (weight, standing and supine blood pressure, heart rate)","END4","","","Endpoint_4","2e3b7e04-e09f-4715-b37f-16bc89c9262f"
"Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","END5","","","Endpoint_5","f0917d52-3fa9-481e-8053-3f479a9825f4"
"Endpoint","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","END6","","","Endpoint_6","9cef4801-6834-4710-8194-dd634c7eb6fd"
"Endpoint","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","END7","","","Endpoint_7","8eaa9732-e167-4095-a04b-93190e7259d1"
"Endpoint","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","END8","","","Endpoint_8","d4a3cdc4-9900-4cd2-a5bc-9a194a37da8d"
"Endpoint","","*** To be determined from protocol ***","END9","","","Endpoint_9","0d964304-9b6a-4664-aa70-2ae938fff815"
"Endpoint","","*** To be determined from protocol ***","END10","","","Endpoint_10","2b01d869-7113-4640-ab46-0d7f4b930f72"
"Endpoint","","*** To be determined from protocol ***","END11","","","Endpoint_11","d871b930-2f3b-4dba-b2de-bdd3146470bb"
