"codeSystem","id","code","decode","instanceType","codeSystemVersion","uuid:ID"
"http://www.cdisc.org","Code_1","C98388","Interventional Study","Code","2023-12-15","e7cff0c2-3396-4e1f-8cc1-0ac65f48c713"
"http://www.cdisc.org","Code_2","C15601","Phase II Trial","Code","2023-12-15","3d47f8a5-4aef-4e83-bf4a-e841f9a4c60c"
"http://www.cdisc.org","Code_9","C132352","Sponsor Approval Date","Code","2023-12-15","f470e92b-9f83-4ab5-abd6-794c2b698258"
"http://www.cdisc.org","Code_10","C68846","Global","Code","2023-12-15","a29f5d7a-f0e3-4310-8482-1f280fe7b946"
"http://www.cdisc.org","Code_72","C99904x3","IRB/IEC Feedback","Code","2023-12-15","000f8ed3-11c5-4033-b717-8322f31c447f"
"http://www.cdisc.org","Code_73","C17649","Other","Code","2023-12-15","87cae6d3-636f-425b-aa2e-9d6e0c16446c"
"http://www.cdisc.org","Code_75","C41129","Region","Code","2023-12-15","f773e72e-3b59-4459-a547-372434ec4172"
"ISO 3166 1 alpha3","Code_74","150","Europe","Code","2020-08","571484fc-d157-41ea-ac60-c9d98efa27c1"
"SPONSOR","Code_4","PHARMA","Eli Lilly","Code","12","cdacf2f0-0882-4a7e-9080-983990f8c3c8"
"http://www.cdisc.org","Code_76","C70793","Clinical Study Sponsor","Code","2023-12-15","f2a57b50-ea64-4374-8145-8897ca75166a"
"ISO 3166 1 alpha3","Code_77","USA","United States of America","Code","2020-08","a334abf7-85c2-4e15-be7e-52ca729835f1"
"http://www.cdisc.org","Code_78","C93453","Study Registry","Code","2023-12-15","36e9951d-d149-46a9-b768-93b41b2bf7f7"
"ISO 3166 1 alpha3","Code_79","USA","United States of America","Code","2020-08","8055e11d-b619-471c-ae53-692d362f2ac6"
"http://www.cdisc.org","Code_137","C49656","Treatment Study","Code","2023-12-15","cd8b2ec2-5ef6-4622-96eb-8dea125c35a2"
"http://www.cdisc.org","Code_138","C49666","Efficacy Study","Code","2023-12-15","da4abea6-9e24-4864-a8d3-5df01ee068ae"
"http://www.cdisc.org","Code_139","C49667","Safety Study","Code","2023-12-15","40384c91-26a7-482f-bdee-d2d947246051"
"http://www.cdisc.org","Code_140","C49663","Pharmacokinetic Study","Code","2023-12-15","856779d2-0125-4053-b91f-742bf5834453"
"SPONSOR","Code_134","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code","12","81c0aff3-2539-4d95-b33f-af8a91c01119"
"SNOMED","Code_135","26929004","Alzheimer's disease","Code","January 31, 2018","3fe6472f-d268-4e35-9daf-999c80c7e989"
"http://www.cdisc.org","Code_143","C99907x1","EXTENSION","Code","2023-12-15","c51aa1ec-952d-4e39-9f4a-f77a04b4d2ea"
