"windowLower","value","valueLabel","windowLabel","id","name","description","windowUpper","label","instanceType","uuid:ID"
"","P2W","2 weeks","","Timing_1","TIM1","Screening timing","","Screening","Timing","e0ffa13b-b5ef-45a4-ae01-5057c428ab6d"
"PT4H","P2D","2 days","-4..0 hours","Timing_2","TIM2","Pre dose timing","PT0H","Pre dose","Timing","7008ae5f-e564-4f2d-aea3-c917484e5bc9"
"","P1D","1 Day","","Timing_3","TIM3","Dosing anchor","","Dosing","Timing","e98c0535-d435-43fd-9498-2188c8c57712"
"P3D","P2W","2 Weeks","-3..3 days","Timing_4","TIM4","Week 2 timing","P3D","Week 2","Timing","a0df884d-b958-4c3e-92e8-8e57ce3fd31c"
"P3D","P4W","4 Weeks","-3..3 days","Timing_5","TIM5","Week 4 timing","P3D","Week 4","Timing","bbc81932-41a5-4d7d-bc19-08db47d07dbb"
"P3D","P6W","6 Weeks","-3..3 days","Timing_6","TIM6","Week 6 timing","P3D","Week 6","Timing","450c4113-a1a2-4253-a0ae-452fefb86e56"
"P3D","P8W","8 Weeks","-3..3 days","Timing_7","TIM7","Week 8 timing","P3D","Week 8","Timing","58e5f4b2-9b7a-4f4d-891c-c930f308ede3"
"P4D","P12W","12 Weeks","-4..4 days","Timing_9","TIM9","Week 12 timing","P4D","Week 12","Timing","7f629a2e-a4b0-4207-89fe-eebd83a5e102"
"P4D","P16W","16 Weeks","-4..4 days","Timing_11","TIM11","Week 16 timing","P4D","Week 16","Timing","84436e73-3f0a-49ea-810e-171de8437010"
"P4D","P20W","20 Weeks","-4..4 days","Timing_13","TIM13","Week 20 timing","P4D","Week 20","Timing","35e391e3-fb2d-49e7-aadd-4c678fd99b83"
"P4D","P24W","24 Weeks","-4..4 days","Timing_15","TIM15","Week 24 timing","P4D","Week 24","Timing","c8cf10b1-a377-44e7-aa03-6b103eb659e5"
"P3D","P26W","26 Weeks","-3..3 days","Timing_16","TIM16","Week 26 timing","P3D","Week 26","Timing","1f571644-d647-4572-9ca7-b78da148f117"
"","P2W","2 Weeks","","Timing_8","TIM8","Week 8 at home timing","","Week 8 Home","Timing","d2c70843-1b45-43ba-9e1f-8ec59e3d8ff8"
"","P2W","2 Weeks","","Timing_10","TIM10","Week 12 at home timing","","Week 12 Home","Timing","62b7f47e-9af6-47ed-be17-5b8fb278abe5"
"","P2W","2 Weeks","","Timing_12","TIM12","Week 16 at home timing","","Week 16 Home","Timing","30114549-717e-495d-acad-1c3c54ca1727"
"","P2W","2 Weeks","","Timing_14","TIM14","Week 20 at home timing","","Week 20 Home","Timing","29506ecd-bee8-4350-9841-1e2806060371"
"","P1D","1 Day","","Timing_17","TIM17","Adverse Event","","Adverse Event","Timing","e1b4b2e1-46e8-4c61-9433-dd215a78b0b8"
"","P1D","1 Day","","Timing_18","TIM18","Early Termination","","Early Termination","Timing","d3d4ae40-cef1-431b-839b-a4e640eae99c"
"","PT0M","0 mins","","Timing_19","TIM19","Supine","","Supine","Timing","c4159c1e-a01e-489b-a9bc-ee47cfb871a6"
"","PT5M","5 mins","","Timing_20","TIM20","VS while supine","","VS while supine","Timing","ac473a80-1c81-4a23-bc1f-67e36ef7977d"
"","PT0M","0 min","","Timing_21","TIM21","Standing","","Standing","Timing","e40c4740-a5ba-4bc8-be2c-79e3153797c3"
"","PT1M","1 min","","Timing_22","TIM22","VS while standing","","VS while standing","Timing","1c56e496-aa17-49c6-acbc-ed790d2bbe72"
"","PT0M","0 min","","Timing_23","TIM23","Standing","","Standing","Timing","94806c41-8725-4d05-9d11-a9262d381c23"
"","PT2M","2 min","","Timing_24","TIM24","VS while standing","","VS while standing","Timing","4aaec4ea-268f-4c90-87b8-3056a03ea9bc"
