"text","label","instanceType","uuid:ID","id","purpose","description","name"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","5b551d82-7c22-4e71-8b2f-90f2bae9a7c7","Endpoint_1","","","END1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","d7e5f727-d485-4cc9-bf0d-79f184bbd458","Endpoint_2","","","END2"
"Adverse events","","Endpoint","35f6655a-4bbb-4a82-9eff-2028d347cc5f","Endpoint_3","","","END3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","19dd7ed9-b885-4080-98e4-828a1230f77d","Endpoint_4","","","END4"
"Laboratory evaluations (Change from Baseline)","","Endpoint","0ecbb28a-8b88-4895-adca-ccae290a7ff9","Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","bd75b893-3937-40b6-b338-c22f2b6868cb","Endpoint_6","","","END6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","f2a347f4-7301-4d14-8da1-3e221dfaf823","Endpoint_7","","","END7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","71bd91ad-74ec-47db-8198-cd16b8a64f69","Endpoint_8","","","END8"
"*** To be determined from protocol ***","","Endpoint","3ed2e268-67b7-4c21-acd4-f1bad34f02dc","Endpoint_9","","","END9"
"*** To be determined from protocol ***","","Endpoint","f6ddbcc1-266d-4584-b677-498d421da8e5","Endpoint_10","","","END10"
"*** To be determined from protocol ***","","Endpoint","26631e44-faec-4c3b-93ee-4f5d95bd67ee","Endpoint_11","","","END11"
