"label","windowLower","instanceType","uuid:ID","id","windowUpper","value","description","valueLabel","windowLabel","name"
"Screening","","Timing","d315f638-f64d-4d3d-9397-b1f35081f7ba","Timing_1","","P2W","Screening timing","2 weeks","","TIM1"
"Pre dose","PT4H","Timing","ce5f56a9-7d26-4c74-94eb-01d126fe41de","Timing_2","PT0H","P2D","Pre dose timing","2 days","-4..0 hours","TIM2"
"Dosing","","Timing","e8673854-7794-4a8f-9bc6-0035d12f4a57","Timing_3","","P1D","Dosing anchor","1 Day","","TIM3"
"Week 2","P3D","Timing","0593aabe-f2c9-425c-acf9-8a49c0954e74","Timing_4","P3D","P2W","Week 2 timing","2 Weeks","-3..3 days","TIM4"
"Week 4","P3D","Timing","a43a15f7-d202-453d-b290-05800d06d2ac","Timing_5","P3D","P4W","Week 4 timing","4 Weeks","-3..3 days","TIM5"
"Week 6","P3D","Timing","3369b591-6b6a-4b96-b111-fd02c66b45fc","Timing_6","P3D","P6W","Week 6 timing","6 Weeks","-3..3 days","TIM6"
"Week 8","P3D","Timing","abe5766a-2341-4e23-996a-b883630c5e08","Timing_7","P3D","P8W","Week 8 timing","8 Weeks","-3..3 days","TIM7"
"Week 12","P4D","Timing","c79ab397-2d1b-4f12-b20d-2d2d700cf94c","Timing_9","P4D","P12W","Week 12 timing","12 Weeks","-4..4 days","TIM9"
"Week 16","P4D","Timing","723a42e5-f871-4bdc-811e-107d38e3e560","Timing_11","P4D","P16W","Week 16 timing","16 Weeks","-4..4 days","TIM11"
"Week 20","P4D","Timing","a29af1ce-492b-404d-b2ca-577fbe967c79","Timing_13","P4D","P20W","Week 20 timing","20 Weeks","-4..4 days","TIM13"
"Week 24","P4D","Timing","09d3d134-5296-4142-8c16-31ca070b0a68","Timing_15","P4D","P24W","Week 24 timing","24 Weeks","-4..4 days","TIM15"
"Week 26","P3D","Timing","f7286905-4575-436e-95e0-a6bfd0850f29","Timing_16","P3D","P26W","Week 26 timing","26 Weeks","-3..3 days","TIM16"
"Week 8 Home","","Timing","44cf8147-534e-4631-a915-ef83d7aad2be","Timing_8","","P2W","Week 8 at home timing","2 Weeks","","TIM8"
"Week 12 Home","","Timing","334740c5-53cf-4cef-bafd-7682afbac72f","Timing_10","","P2W","Week 12 at home timing","2 Weeks","","TIM10"
"Week 16 Home","","Timing","06f58df3-d7ad-43b2-8c9d-5384379b384a","Timing_12","","P2W","Week 16 at home timing","2 Weeks","","TIM12"
"Week 20 Home","","Timing","fa372d14-dbcf-4a09-8b0c-9fe39bf5ea68","Timing_14","","P2W","Week 20 at home timing","2 Weeks","","TIM14"
"Adverse Event","","Timing","757f9c0b-cb1d-4bce-b36e-981f42af2aef","Timing_17","","P1D","Adverse Event","1 Day","","TIM17"
"Early Termination","","Timing","3f193f61-7903-4686-8933-261f5161de8f","Timing_18","","P1D","Early Termination","1 Day","","TIM18"
"Supine","","Timing","b5607bff-af62-4388-82cc-db75b9c98b7e","Timing_19","","PT0M","Supine","0 mins","","TIM19"
"VS while supine","","Timing","dcc5de1b-6d2d-46b0-8d27-51568e64584a","Timing_20","","PT5M","VS while supine","5 mins","","TIM20"
"Standing","","Timing","700f88bc-ebf3-4848-acf9-96b15c7ec6ee","Timing_21","","PT0M","Standing","0 min","","TIM21"
"VS while standing","","Timing","3b0c0050-c27d-4e45-abf3-8e21affd6874","Timing_22","","PT1M","VS while standing","1 min","","TIM22"
"Standing","","Timing","2621fdfd-7e47-423e-870d-ec17b771a620","Timing_23","","PT0M","Standing","0 min","","TIM23"
"VS while standing","","Timing","3cfed782-ccf4-45ea-9eda-e2f38d4712af","Timing_24","","PT2M","VS while standing","2 min","","TIM24"
