"name","description","label","instanceType","uuid:ID","id"
"Informed consent","","Informed consent","Activity","13e392b0-66dc-4cd3-94ff-d30649e5588a","Activity_1"
"Inclusion/exclusion criteria","","Inclusion and exclusion criteria","Activity","ac8fc8a1-1f62-4e77-8bc2-ac3cf42b0c6a","Activity_2"
"Patient number assigned","","Patient number assigned","Activity","03e747b0-30dd-488f-9b5b-dbf8c14120fc","Activity_3"
"Demographics","","Demographics","Activity","9c11ae4d-fc03-4322-bb81-68424d3c3883","Activity_4"
"Hachinski","","Hachinski Ischemic Scale","Activity","20f1a41d-ff87-4868-a361-7ccc0da63679","Activity_5"
"MMSE","","MMSE","Activity","3145c2db-d7c0-46cc-9552-7fd037f9a3d1","Activity_6"
"Physical examination","","Physical examination","Activity","bcd4b1c4-1fe3-4230-9d1d-b804bef08f27","Activity_7"
"Medical history","","Medical history","Activity","cda9e9b5-1c5f-4469-8179-4eb8d126dd8c","Activity_8"
"Habits","","Habits","Activity","f9d68f62-2673-41f3-9863-db9f2e0338b9","Activity_9"
"Chest X-ray","","Chest X-ray","Activity","231edc4d-d108-4cb2-830d-87d43f9da7d7","Activity_10"
"Apo E genotyping","","Apo E genotyping","Activity","44f5bcae-2051-44b7-b992-c0fbbecaa123","Activity_11"
"Patient randomised","","Patient randomised","Activity","2fb013a9-d846-4ea7-86ba-d21b39d89124","Activity_12"
"Vital signs / Temperature","","Vital Signs and Temperature","Activity","f9c5641c-2967-4b27-b6c2-691f5a47ef41","Activity_13"
"Ambulatory ECG placed","","Ambulatory ECG placed","Activity","6bebbc92-2928-444d-b454-92cc92a64cc5","Activity_14"
"Ambulatory ECG removed","","Ambulatory ECG removed","Activity","9daf8e5f-40b0-4f03-83fd-8db3121e4569","Activity_15"
"ECG","","ECG","Activity","c63d789f-2247-4dce-8e9d-88dd12b7382a","Activity_16"
"Placebo TTS test","","Placebo TTS test","Activity","2d2b16a5-bab8-4e17-8bca-f065e7cccb3b","Activity_17"
"CT scan","","CT scan","Activity","bae14967-126c-4dda-8662-af7b1a3cc465","Activity_18"
"Concomitant medications","","Concomitant medications","Activity","8596bc65-d08e-410f-926c-8e82f99c3dab","Activity_19"
"Hematology","","Hematology","Activity","cc40c572-920f-4eb4-b74d-279b3b24cedd","Activity_20"
"Chemistry","","Chemistry","Activity","b2eb50d4-bd3b-4666-a754-1b33d3d37e1c","Activity_21"
"Uninalysis","","Uninalysis","Activity","6e0196e5-52de-4237-a5b7-2541743202a8","Activity_22"
"Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)","Activity","92cd7662-cf7f-4e7d-acb7-bb8a54103a68","Activity_23"
"Hemoglobin A1C","","Hemoglobin A1C","Activity","be10ea40-2c15-494e-99dd-b95834867df7","Activity_24"
"Study drug","","Study drug record , Medications dispensed, Medications returned","Activity","a44da543-f7cb-424c-bb60-da8bad5f3038","Activity_25"
"TTS Acceptability Survey","","TTS Acceptability Survey","Activity","bd161bcf-b69f-4a51-93d4-ea1d4ad9af0e","Activity_26"
"ADAS-Cog","","ADAS-Cog","Activity","153591e1-7988-4a1d-b7ce-3098908a4e35","Activity_27"
"CIBIC+","","CIBIC+","Activity","b36a77f8-8b5f-4df0-9bf7-2acc5e898325","Activity_28"
"DAD","","DAD","Activity","42d30b83-9063-4219-8e00-018b157e95cb","Activity_29"
"NPI-X","","NPI-X","Activity","c74e8780-a6e8-4a83-a1f0-2116b5081cfe","Activity_30"
"Adverse events","","Adverse events","Activity","35488182-3bfd-483d-8e9d-c1455a765396","Activity_31"
"Check adverse events","","Check adverse events","Activity","63fdca0f-8a3a-4175-acea-83e95f6202fe","Activity_32"
"Supine","","Subject supine","Activity","dc04dd05-dac4-4c07-a24f-b804c75ff5a6","Activity_33"
"Vital Signs Supine","","Vital signs while supine","Activity","796ecd40-c88d-4f82-89fd-7266a478e01e","Activity_34"
"Stand","","Subject Standing","Activity","1cf3c4d4-5dd3-41cc-b5a2-f6d6b6bbb5e0","Activity_35"
"Vital Signs Standing","","Vital signs while standing","Activity","9e37dd8e-f73c-41e8-a809-c7a6356f571a","Activity_36"
