"name","label","instanceType","uuid:ID","synonyms","id","reference"
"Informed Consent Obtained","Informed Consent Obtained","BiomedicalConcept","97dddffa-4973-4ac1-ac09-8ba5c9558317","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT"
"Sex","Sex","BiomedicalConcept","e801c78c-5751-4ad0-9dca-2fff4d2a3843","","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"Race","Race","BiomedicalConcept","4929ed7f-f36b-4fbc-8907-c8ba0ceb8b51","['Racial Group']","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"Temperature","Temperature","BiomedicalConcept","915e8f23-45ce-4813-9219-681d275a58b1","['Temperature', 'Body Temperature']","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"Weight","Weight","BiomedicalConcept","355a203e-2529-4209-af53-f7be3c08dcba","['Weight', 'Body Weight']","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"Height","Height","BiomedicalConcept","be03fa88-14af-4132-86c8-b3688b1a04d4","['Height', 'Body Height']","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","1f7cd385-b567-498c-aa84-89a600d46c8f","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept","318b080c-fd68-45db-80bf-4721ef21841e","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","8667bc34-90be-47a4-a190-3b6ff7fd9e72","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","99494aa5-879b-4d6c-8faa-3554709d3cfc","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"Creatinine Concentration in Urine","Creatinine Concentration in Urine","BiomedicalConcept","d1060205-c47b-4991-b9ce-3a06eaa14bfb","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"Potassium Concentration in Urine","Potassium Concentration in Urine","BiomedicalConcept","5df02bde-3fa4-47ec-95bb-99a9312c0eee","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"Sodium Concentration in Urine","Sodium Concentration in Urine","BiomedicalConcept","75085909-23a8-412d-a816-a7ccfe99937e","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"Hemoglobin A1C Concentration in Blood","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","464c39cc-ebd6-47c0-8eef-76652c541fbb","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
"Adverse Event Prespecified","Adverse Event Prespecified","BiomedicalConcept","c449eadd-ea7b-4bf0-a725-9ec208a7fba6","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP"
"Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept","05c747f2-d620-4199-a9f5-31cd8f1f5a69","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP"
"Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept","920a42fa-f4b4-42ed-b55c-8f8a6ce8c001","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP"
"Temperature","Temperature","BiomedicalConcept","f5a08d29-8d9d-425d-a489-9b2720875539","['Temperature', 'Body Temperature']","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
