"name","description","label","instanceType","uuid:ID","id"
"E1","Screening encounter","Screening 1","Encounter","57fc34e3-6f32-42de-b55b-7320234a72e0","Encounter_1"
"E2","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter","8eafe3e3-8a43-48a6-b65c-b9f45b40f18e","Encounter_2"
"E3","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter","c2f9649d-02d1-491e-b599-2bc953f54585","Encounter_3"
"E4","Day 14","Week 2","Encounter","dc564033-2442-4315-b4de-789259cc5084","Encounter_4"
"E5","Day 28","Week 4","Encounter","66673b8e-80d1-4c92-8fc4-38b5feeb81c4","Encounter_5"
"E7","Day 42","Week 6","Encounter","a266c609-8181-4570-8722-d1ef7b1743c4","Encounter_6"
"E8","Day 56","Week 8","Encounter","80e5cba6-0590-4315-95c5-76a739938f69","Encounter_7"
"E9","Day 84","Week 12","Encounter","c0b34d34-b6b0-483a-8495-d2d6a3102fa5","Encounter_8"
"E10","Day 112","Week 16","Encounter","863eaa83-66db-41b7-bcd0-d471cc3d7d45","Encounter_9"
"E11","Day 140","Week 20","Encounter","68792db8-03aa-41d9-901c-0c9a1071f005","Encounter_10"
"E12","Day 168","Week 24","Encounter","12977bbc-c252-4cb9-bea8-de526ea5a8b8","Encounter_11"
"E13","Day 182","Week 26","Encounter","be4cf9e0-676a-4985-a778-7f0c1857624a","Encounter_12"
