"name","description","label","instanceType","uuid:ID","id"
"SCREEN1","-","Screen One","ScheduledActivityInstance","607068fc-a490-49f2-9532-75228e3fd682","ScheduledActivityInstance_9"
"SCREEN2","-","Screen Two","ScheduledActivityInstance","2468a12a-f7dd-459e-a1ca-b44bfd660ff8","ScheduledActivityInstance_10"
"DOSE","-","Dose","ScheduledActivityInstance","615c401d-b498-42a6-9e27-2f558fe05ede","ScheduledActivityInstance_11"
"WK2","-","Week 2","ScheduledActivityInstance","afb26dc7-e479-4d5a-973c-53068e412659","ScheduledActivityInstance_12"
"WK4","-","Week 4","ScheduledActivityInstance","0eae782f-e2e5-4da8-bc37-dd2cc5ce9fbf","ScheduledActivityInstance_13"
"WK6","-","Week 6","ScheduledActivityInstance","ed53f350-e9c6-4a65-becd-b8c35348f22c","ScheduledActivityInstance_14"
"WK8","-","Week 8","ScheduledActivityInstance","7b2ec24d-4654-457b-ac2d-718f0bfd3806","ScheduledActivityInstance_15"
"WK8N","-","Week NPI","ScheduledActivityInstance","aeef0120-07d0-442a-bb7c-229d6e723c31","ScheduledActivityInstance_16"
"WK12","-","Week 12","ScheduledActivityInstance","68794b03-8dab-4d95-b770-77204586bc27","ScheduledActivityInstance_17"
"WK12N","-","Week 12 NPI","ScheduledActivityInstance","ea562851-43ba-41ea-a98c-b0398129a4c2","ScheduledActivityInstance_18"
"WK16","-","Week 16","ScheduledActivityInstance","0a3c439e-772f-4c49-92e3-a9598e6e5d61","ScheduledActivityInstance_19"
"WK16N","-","Week 16 NPI","ScheduledActivityInstance","0f181c30-2ef4-4b07-bda4-754096fff18e","ScheduledActivityInstance_20"
"WK20","-","Week 20","ScheduledActivityInstance","b7f0f391-de23-48e3-8d75-2e1b447706d7","ScheduledActivityInstance_21"
"WK20N","-","Week 20 NPI","ScheduledActivityInstance","c2291424-ee2f-4861-8d1a-eae29b20e777","ScheduledActivityInstance_22"
"WK24","-","Week 24","ScheduledActivityInstance","2d200147-f83f-497a-8e43-efa287541a9e","ScheduledActivityInstance_23"
"WK26","-","Week 26","ScheduledActivityInstance","f4798dcd-9109-460e-89e7-520b6b9e3c92","ScheduledActivityInstance_24"
"AE","-","Adevers Event","ScheduledActivityInstance","b8311bcb-4f51-4ed7-b5e4-7553957c4340","ScheduledActivityInstance_1"
"ET","-","Early Termination","ScheduledActivityInstance","076f4541-56e2-4c1e-b965-dbc6dc74df48","ScheduledActivityInstance_2"
"VS_5MIN","","5 minute supine","ScheduledActivityInstance","38699f2d-aa0e-41b6-b657-7c41830efbcc","ScheduledActivityInstance_3"
"VS_SUPINE","","Vital signs supine","ScheduledActivityInstance","bb0d0e8e-76fa-4a55-8074-ac68c9722597","ScheduledActivityInstance_4"
"VS_1MIN","","1 minute standing","ScheduledActivityInstance","5c18d83f-a70d-4fe6-acea-3f261840546d","ScheduledActivityInstance_5"
"VS_STAND1","","Vital signs after 1 min standing","ScheduledActivityInstance","25600321-e119-48be-9914-1f46f029650c","ScheduledActivityInstance_6"
"VS_2MIN","","2 minute standing","ScheduledActivityInstance","5e8ef188-068c-47eb-bc89-4e82eb5a6d8d","ScheduledActivityInstance_7"
"VS_STAND3","","Vital signs after 3 min standing","ScheduledActivityInstance","8a048b70-774d-4990-88da-d5db9e34f31c","ScheduledActivityInstance_8"
