"name","instanceType","label","uuid:ID","id","description"
"Informed consent","Activity","Informed consent","f3a81a7c-c283-43c8-905e-4f75a33da617","Activity_1",""
"Inclusion/exclusion criteria","Activity","Inclusion and exclusion criteria","73f25bd1-f842-47e5-afad-ffa441b1164d","Activity_2",""
"Patient number assigned","Activity","Patient number assigned","c43b2fd1-7e2c-4872-8ab1-366ab0302662","Activity_3",""
"Demographics","Activity","Demographics","6ab484db-192c-4323-a278-47375152aac6","Activity_4",""
"Hachinski","Activity","Hachinski Ischemic Scale","aaf07fb5-7a43-4a97-92d9-bd0483894922","Activity_5",""
"MMSE","Activity","MMSE","5e7cbfb7-408e-46b1-9ed7-9df9c712cc3e","Activity_6",""
"Physical examination","Activity","Physical examination","95ecca62-69c9-45ec-8298-4c2daebce457","Activity_7",""
"Medical history","Activity","Medical history","71290c91-4240-4641-9ad7-a5c5c3479a63","Activity_8",""
"Habits","Activity","Habits","31193366-a266-4e11-b9e9-a7ea4c2e7f77","Activity_9",""
"Chest X-ray","Activity","Chest X-ray","534ecb00-c0fb-486d-a6c7-cabedc2a4a5f","Activity_10",""
"Apo E genotyping","Activity","Apo E genotyping","a1ed34dc-44a7-4b29-8b17-f69c498e1416","Activity_11",""
"Patient randomised","Activity","Patient randomised","b57008e7-fb32-495a-b602-0b493883a699","Activity_12",""
"Vital signs / Temperature","Activity","Vital Signs and Temperature","1a169ed6-a9e6-4f7d-bb3f-7e50b890f89e","Activity_13",""
"Ambulatory ECG placed","Activity","Ambulatory ECG placed","06b71f56-ce9e-4125-a3df-5c09529cd396","Activity_14",""
"Ambulatory ECG removed","Activity","Ambulatory ECG removed","f954e573-43e9-400e-a139-0c1616768184","Activity_15",""
"ECG","Activity","ECG","b0b22f11-5327-4192-8762-f35d040992bf","Activity_16",""
"Placebo TTS test","Activity","Placebo TTS test","43741bf9-0997-479f-a7ee-9a7ec5a35034","Activity_17",""
"CT scan","Activity","CT scan","64e460be-ae9e-4ae1-b241-3e8b5eaad331","Activity_18",""
"Concomitant medications","Activity","Concomitant medications","3ecd3ad3-8ba6-4348-a3a7-d302acf89859","Activity_19",""
"Hematology","Activity","Hematology","e33b9526-fee8-4464-a5b1-2118b02c3c1d","Activity_20",""
"Chemistry","Activity","Chemistry","ce322fa0-32f5-4cc6-8bc4-19bfad2ccc14","Activity_21",""
"Uninalysis","Activity","Uninalysis","a5cd5097-55ff-4ed9-ac4b-cb9a0710e0e4","Activity_22",""
"Plasma Specimen (Xanomeline)","Activity","Plasma Specimen (Xanomeline)","5102530d-6abd-4e67-a502-5f93928c436e","Activity_23",""
"Hemoglobin A1C","Activity","Hemoglobin A1C","6865650b-1b4b-4b36-bff8-575cdedd65e3","Activity_24",""
"Study drug","Activity","Study drug record , Medications dispensed, Medications returned","6d297243-6f75-483d-a029-899703d3cbab","Activity_25",""
"TTS Acceptability Survey","Activity","TTS Acceptability Survey","2b6677c6-9b2b-49cc-bf6b-db0be3aa5940","Activity_26",""
"ADAS-Cog","Activity","ADAS-Cog","46575e87-e7d7-4b14-ab4b-cc8def90c5a0","Activity_27",""
"CIBIC+","Activity","CIBIC+","edc7c5b4-a9eb-45a7-872b-6a3d10542506","Activity_28",""
"DAD","Activity","DAD","14ea9b79-1f3b-433f-9d79-68a92e7730fc","Activity_29",""
"NPI-X","Activity","NPI-X","5e373778-ee6c-49b0-b47e-e046591fc282","Activity_30",""
"Adverse events","Activity","Adverse events","58e9f787-882c-4efe-9986-7b233a1361b3","Activity_31",""
"Check adverse events","Activity","Check adverse events","7d82b2aa-c207-4bb0-a6cb-4df32b13a413","Activity_32",""
"Supine","Activity","Subject supine","1e1fd1eb-7cde-4e63-bde4-4de98094d391","Activity_33",""
"Vital Signs Supine","Activity","Vital signs while supine","a6bceaba-98b1-4082-bee7-48ab03bcb8c9","Activity_34",""
"Stand","Activity","Subject Standing","f6c30938-dd47-4912-bd65-2d18517b3943","Activity_35",""
"Vital Signs Standing","Activity","Vital signs while standing","9e9906b0-a68b-4d66-a7a8-68c06ea0dfc1","Activity_36",""
