"name","value","instanceType","label","windowLabel","valueLabel","windowLower","uuid:ID","id","description","windowUpper"
"TIM1","P2W","Timing","Screening","","2 weeks","","82099e31-bff3-48e3-b551-91cab3d29067","Timing_1","Screening timing",""
"TIM2","P2D","Timing","Pre dose","-4..0 hours","2 days","PT4H","ad59c7f3-c799-461c-ae56-03d6dc16ae38","Timing_2","Pre dose timing","PT0H"
"TIM3","P1D","Timing","Dosing","","1 Day","","b6de15a5-eeb3-43de-b3b0-ca018e419845","Timing_3","Dosing anchor",""
"TIM4","P2W","Timing","Week 2","-3..3 days","2 Weeks","P3D","068e4fad-3ab7-433a-acbf-ed94f5c96d88","Timing_4","Week 2 timing","P3D"
"TIM5","P4W","Timing","Week 4","-3..3 days","4 Weeks","P3D","6c1ff78c-d8ac-4f60-b2e6-78eaedd64b0e","Timing_5","Week 4 timing","P3D"
"TIM6","P6W","Timing","Week 6","-3..3 days","6 Weeks","P3D","52e5fa5d-aed9-42c4-9ea0-553655c75def","Timing_6","Week 6 timing","P3D"
"TIM7","P8W","Timing","Week 8","-3..3 days","8 Weeks","P3D","d8c0c4a9-4316-4924-b2d6-02a98743c56b","Timing_7","Week 8 timing","P3D"
"TIM9","P12W","Timing","Week 12","-4..4 days","12 Weeks","P4D","6c19271e-99c9-474c-94a3-3e5695bc612c","Timing_9","Week 12 timing","P4D"
"TIM11","P16W","Timing","Week 16","-4..4 days","16 Weeks","P4D","762b3318-4b27-4988-b3b8-b9ee20dcced0","Timing_11","Week 16 timing","P4D"
"TIM13","P20W","Timing","Week 20","-4..4 days","20 Weeks","P4D","af951fb0-31ec-4ad5-866b-b56f73a0b7c6","Timing_13","Week 20 timing","P4D"
"TIM15","P24W","Timing","Week 24","-4..4 days","24 Weeks","P4D","9cd59d09-3380-42bd-a5ca-6a4b2502046e","Timing_15","Week 24 timing","P4D"
"TIM16","P26W","Timing","Week 26","-3..3 days","26 Weeks","P3D","21605ccf-e7c0-4112-ac7a-118ce64021ff","Timing_16","Week 26 timing","P3D"
"TIM8","P2W","Timing","Week 8 Home","","2 Weeks","","f40c3695-5880-4f97-851f-3c17f2eb3003","Timing_8","Week 8 at home timing",""
"TIM10","P2W","Timing","Week 12 Home","","2 Weeks","","90a2a4ad-e64b-434b-82c8-9a1d85f5910d","Timing_10","Week 12 at home timing",""
"TIM12","P2W","Timing","Week 16 Home","","2 Weeks","","7d7d6ae9-7bfc-4d80-9623-34132fa3cec1","Timing_12","Week 16 at home timing",""
"TIM14","P2W","Timing","Week 20 Home","","2 Weeks","","71e5d81d-ae1e-43b2-bdac-f7ab36079099","Timing_14","Week 20 at home timing",""
"TIM17","P1D","Timing","Adverse Event","","1 Day","","779dea2f-17a6-41e8-afd0-fdac2cdc5a5b","Timing_17","Adverse Event",""
"TIM18","P1D","Timing","Early Termination","","1 Day","","f57b98b3-84b7-441c-b2c0-23210116aa5f","Timing_18","Early Termination",""
"TIM19","PT0M","Timing","Supine","","0 mins","","78cedad0-3636-49e0-9ff8-80a4d0c390ba","Timing_19","Supine",""
"TIM20","PT5M","Timing","VS while supine","","5 mins","","2468eef4-4329-4650-9b9a-a34bdd1c2834","Timing_20","VS while supine",""
"TIM21","PT0M","Timing","Standing","","0 min","","28b5a8dc-02e5-485d-90f2-df7b36ec20a9","Timing_21","Standing",""
"TIM22","PT1M","Timing","VS while standing","","1 min","","5d73deb2-41b4-4bec-b515-c080747ac466","Timing_22","VS while standing",""
"TIM23","PT0M","Timing","Standing","","0 min","","4f47ce25-bebc-4e37-b96b-b6e1ef308673","Timing_23","Standing",""
"TIM24","PT2M","Timing","VS while standing","","2 min","","3a290c92-d747-406b-a783-7c0004e2d047","Timing_24","VS while standing",""
