"name","instanceType","uuid:ID","text","id"
"ENCOUNTER_START_RULE_1","TransitionRule","46e74aae-2b59-42fc-b75f-2ce006ae2cfd","Subject identifier","TransitionRule_1"
"ENCOUNTER_START_RULE_1","TransitionRule","3b225926-19e0-4666-9743-66a01f76a03b","completion of screening activities","TransitionRule_2"
"ENCOUNTER_START_RULE_2","TransitionRule","f3803d76-69e1-48b1-beec-867f3cf7bd52","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"ENCOUNTER_START_RULE_3","TransitionRule","736d8f27-7e23-40bf-a160-f1b6d5fda480","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"ENCOUNTER_START_RULE_3","TransitionRule","cff19b48-09d8-41fd-a677-20e45e5597f0","Radomized","TransitionRule_5"
"ENCOUNTER_START_RULE_12","TransitionRule","a3bb9f16-a51d-4dbe-b09c-7f12f151ff77","End of treatment","TransitionRule_6"
"ELEMENT_START_RULE_1","TransitionRule","69557087-2817-4b73-a6b4-0c047be08e14","Informed consent","TransitionRule_7"
"ELEMENT_END_RULE_1","TransitionRule","bf92f617-23f9-444c-b2a8-53389a3d0373","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"ELEMENT_START_RULE_2","TransitionRule","ba899be9-2fb7-4d1e-849a-b16144596f32","Administration of first dose","TransitionRule_9"
"ELEMENT_START_RULE_7","TransitionRule","73d0eeac-d947-4ed6-a921-8fe151a70053","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"ELEMENT_END_RULE_7","TransitionRule","6488fd1d-cbaf-4590-b301-562656b54635","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"ELEMENT_START_RULE_3","TransitionRule","824d42ec-10b3-4f51-9812-399a2c78c82d","Administration of first dose","TransitionRule_10"
"ELEMENT_START_RULE_4","TransitionRule","ece5700f-74e3-4ef2-940d-5b01462f98bd","Randomized","TransitionRule_11"
"ELEMENT_START_RULE_5","TransitionRule","54198a50-53a6-48d6-ab54-e0327716e985","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"ELEMENT_START_RULE_6","TransitionRule","2a234905-b19a-4903-8b99-6f6fb69258ba","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
