"uuid:ID","text","id","name","purpose","instanceType","description","label"
"63455c2a-772a-4d0c-928c-c58e9a2d40d9","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","END1","","Endpoint","",""
"8b6a5f1a-541d-4d58-881a-49bd46d579c0","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","END2","","Endpoint","",""
"c0137adf-83d1-40f1-95c6-2019fb2a3659","Adverse events","Endpoint_3","END3","","Endpoint","",""
"2d00334e-9d07-480b-b3e5-f6c9fd72065e","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","END4","","Endpoint","",""
"81babec6-86c4-4a9c-ac4b-abb31a7f6f7e","Laboratory evaluations (Change from Baseline)","Endpoint_5","END5","","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation",""
"e584c49c-5061-474c-8789-1970f114c532","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","END6","","Endpoint","",""
"5b4b38b7-e614-41c9-a811-1fb0ff80a263","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","END7","","Endpoint","",""
"d9cdf992-5926-4256-afe2-2954dc6797ee","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","END8","","Endpoint","",""
"a85bf777-2411-4745-b675-3c95bbd9c3e7","*** To be determined from protocol ***","Endpoint_9","END9","","Endpoint","",""
"7f43a04d-6667-44e4-b622-878fe1549946","*** To be determined from protocol ***","Endpoint_10","END10","","Endpoint","",""
"2871be28-f743-42f0-8f1e-37886d1d9f55","*** To be determined from protocol ***","Endpoint_11","END11","","Endpoint","",""
