"reference","instanceType","name","uuid:ID","label","synonyms","id"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","Informed Consent Obtained","3335107a-f895-439d-b7a2-9ff2efb7ae55","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","Sex","db93ed92-1fb0-4b3d-af03-34874081bbe2","Sex","","BiomedicalConcept_21"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","Race","1c91c8b6-cd25-4bcd-8d33-a1a00bbf4b3a","Race","['Racial Group']","BiomedicalConcept_22"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","060054c6-d6f1-4231-8b6a-2ee97a1ffa3a","Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept_23"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","fc8a9dc7-6ecb-424d-b10b-003208905972","Weight","['Weight', 'Body Weight']","BiomedicalConcept_24"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","6a878878-4039-4b0b-a611-6fa72c7d2e92","Height","['Height', 'Body Height']","BiomedicalConcept_25"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","0f93d753-dc3c-44b3-b14d-135d837c5c43","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","17daf06b-5479-4ac9-ae5a-1dd7081dc138","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","4fafcc14-ee23-4450-9896-b3d4f0d704c5","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","c22bce6f-bcdd-49b8-b8df-0d014004ec75","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","bea7ffd0-c5ed-47d3-a367-f916fc997c6e","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","c69ecbd1-3f81-41ce-a401-8dec6df65190","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","5fe89299-4cd0-4603-b6cd-eb3ced0893db","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","610d7b6e-3f8f-484b-9ecc-3196fc7af593","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","Adverse Event Prespecified","dc6f622e-4588-4c5f-a50f-e328fc8d0dfd","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","e896b3c3-a083-4f83-bebc-2aa933c2ae53","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","b1d078eb-9799-4dd5-adc3-920d115234ab","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","a475576e-c648-43c1-ad4b-2c8897c438b4","Temperature","['Temperature', 'Body Temperature']","BiomedicalConcept_4"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","27eee3e1-19c9-4a24-9828-ef6078e66b74","Weight","['Weight', 'Body Weight']","BiomedicalConcept_5"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","0c6ff611-cddd-4d55-923a-7859c1b3c8f6","Height","['Height', 'Body Height']","BiomedicalConcept_6"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","9aaef128-d582-4264-ad5c-82550a6e145f","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","9ebb98dc-acc3-416f-b470-c27041834589","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","49ad15e8-688b-4d88-8d68-5580db2203e8","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","051c249b-1741-4fc3-95dc-7397e5140191","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","43c79723-0261-4351-b6ac-9f380279fd55","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","c18f4dce-72af-4b38-a1e1-2b8c4bb597ba","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","af4620a8-28a5-4c17-8c42-ea5831bb63ed","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","c1634947-5578-459c-9657-677004f7f25c","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","64aa0e2e-cb23-4149-bd31-a8309f76d0b1","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","f7f2d4b3-867e-4ad8-832a-6aa8863bf2c0","Heart Rate","['Heart Rate']","BiomedicalConcept_16"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","75cca6d6-4f15-4fac-a75c-fea78bc2c824","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","2dbbe8b0-b2db-4e57-8ea9-7383fbe85dc5","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","3a600822-7b93-43d5-a2d2-22856a6fc639","Heart Rate","['Heart Rate']","BiomedicalConcept_19"
