"uuid:ID","id","codeSystemVersion","code","codeSystem","decode","instanceType"
"4ded4422-3d1f-4180-b9f8-b7677b944fa1","Code_1","2023-12-15","C98388","http://www.cdisc.org","Interventional Study","Code"
"715be8dd-03bf-4878-898d-0b64257085e8","Code_2","2023-12-15","C15601","http://www.cdisc.org","Phase II Trial","Code"
"438b981c-655a-452a-9d4a-f722dfded3e0","Code_9","2023-12-15","C132352","http://www.cdisc.org","Sponsor Approval Date","Code"
"2a021056-922a-414d-9ab2-a48ffc3c6c62","Code_10","2023-12-15","C68846","http://www.cdisc.org","Global","Code"
"4edcf2cc-ff25-4727-9911-71afe186d04d","Code_72","2023-12-15","C99904x3","http://www.cdisc.org","IRB/IEC Feedback","Code"
"2e2c9608-093c-4909-a1da-2548a4a038b8","Code_73","2023-12-15","C17649","http://www.cdisc.org","Other","Code"
"9635ecf9-a50d-43b8-9c81-4f02ce7e090a","Code_75","2023-12-15","C41129","http://www.cdisc.org","Region","Code"
"b11e0722-3aba-412e-8b35-e3afbca71036","Code_74","2020-08","150","ISO 3166 1 alpha3","Europe","Code"
"d8479da0-e6fd-47aa-8aa7-a6275a91ed0f","Code_4","12","PHARMA","SPONSOR","Eli Lilly","Code"
"f3a190fb-24f7-4b5c-a294-62178727befa","Code_76","2023-12-15","C70793","http://www.cdisc.org","Clinical Study Sponsor","Code"
"4fc54410-47f2-4312-8704-0c5f551f2282","Code_77","2020-08","USA","ISO 3166 1 alpha3","United States of America","Code"
"9e012683-8bb6-43ff-a8bb-a8211e898d28","Code_78","2023-12-15","C93453","http://www.cdisc.org","Study Registry","Code"
"e937e074-7d11-45db-abda-7103160ef8bc","Code_79","2020-08","USA","ISO 3166 1 alpha3","United States of America","Code"
"bbd9766c-216f-41ce-8b65-c613185076e7","Code_137","2023-12-15","C49656","http://www.cdisc.org","Treatment Study","Code"
"7abec95b-4730-454e-877b-41d80380bd23","Code_138","2023-12-15","C49666","http://www.cdisc.org","Efficacy Study","Code"
"767722fc-e46d-4452-a735-d07341a02a10","Code_139","2023-12-15","C49667","http://www.cdisc.org","Safety Study","Code"
"cdc6c72f-ace7-429d-9fe0-e1dc6899cf74","Code_140","2023-12-15","C49663","http://www.cdisc.org","Pharmacokinetic Study","Code"
"555d4251-66de-464d-906d-f28a36491b87","Code_134","12","MILD_MOD_ALZ","SPONSOR","Mild to Moderate Alzheimer's Disease","Code"
"707b9c36-73e1-411c-89a0-a66eb8070992","Code_135","January 31, 2018","26929004","SNOMED","Alzheimer's disease","Code"
"1e6c99fb-12b5-4450-be6c-8ce9cc219b82","Code_143","2023-12-15","C99907x1","http://www.cdisc.org","EXTENSION","Code"
"349c696c-2f2c-4c53-9939-6160ecca2b87","Code_144","2023-12-15","C98704","http://www.cdisc.org","ADAPTIVE","Code"
"c798f31e-fcac-4a67-b1ee-278e7dc9c726","Code_141","2023-12-15","C82639","http://www.cdisc.org","Parallel Study","Code"
"3f78152d-1358-49da-8010-c508ccdcec20","Code_83","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"695d88c1-aa73-47fc-8e45-9739d76810ea","Code_84","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"cc49d0ce-0795-429b-8ed0-1fd802f9cb28","Code_85","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"218a6c0c-9519-4982-9be2-0dcf7b77e5a7","Code_86","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"a5b929f2-7a17-4417-ba68-49bd6852d081","Code_87","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"76bca8c1-0b28-4a1e-b27b-3828c7fcbd5f","Code_88","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"32d0147c-890f-42ef-b08d-3e03bffca482","Code_89","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"f5bf04f5-0539-432d-a543-6149c430a10f","Code_90","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"e03b5c5f-4bbd-4b56-99df-ee66a6c0e3c3","Code_91","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"6ccd2eff-84f1-4208-b37a-d6279adf2e98","Code_92","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"310d3354-efac-4ad7-8e1c-4ebe736e86a4","Code_93","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"684b5f63-ec64-4bdf-8a83-4d6b8fd26ff3","Code_94","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"6cc925b3-2d4b-483f-b78d-c011647391df","Code_95","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"26614572-5089-48a0-8876-9a005f4560df","Code_96","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"de83166b-42af-4b8e-9408-cb3832caf523","Code_97","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"5454acf9-c9ea-44b4-8d29-b896a5d2c62e","Code_98","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"941fa869-0418-4474-815b-68af4d692f81","Code_99","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"c8e7994b-ea33-4e7e-942e-9b73517a3547","Code_100","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"d9ff60f1-565f-406c-9d8a-e3a1efa92367","Code_101","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"cb6a36f0-41de-48b4-aab2-4bc676cfbbd0","Code_102","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"d17ddc41-f91c-4ce5-8314-2dd4efa4d9f7","Code_103","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"3d0650fc-6102-4c62-8df1-4cfba4d07fb1","Code_104","2023-12-15","C171537","http://www.cdisc.org","Telephone Call","Code"
"547e5435-8d2a-4561-9cca-92c69356e970","Code_105","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"a2872187-bff8-4401-9b12-4f345c4ce8f1","Code_106","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"49f6fb53-41a9-4060-a072-87440d553211","Code_107","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"c3d14d00-ae40-48be-b21c-2e33afb28824","Code_108","2023-12-15","C171537","http://www.cdisc.org","Telephone Call","Code"
"ce71af07-457e-4f78-bd2c-c705d589a877","Code_109","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"839fff8e-a6b0-4073-94d4-7d612e71d2a0","Code_110","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"461e8682-4cb0-417c-aaf8-11c6c0e88040","Code_111","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"37839178-d152-44d7-b68b-b181b6fb19be","Code_112","2023-12-15","C171537","http://www.cdisc.org","Telephone Call","Code"
"f36ee551-5d0a-4ffe-bbdf-14702986c040","Code_113","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"1a9a8f6d-a270-41c9-9319-e6656090930e","Code_114","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"73337c8d-abef-419f-ac12-cef794e1702c","Code_115","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"3523e34a-a016-4811-b56d-e03a0a3494f3","Code_116","2023-12-15","C171537","http://www.cdisc.org","Telephone Call","Code"
"427e2b8f-982c-4ea3-8766-50aab0994feb","Code_117","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"798cf6f4-ed7b-46c1-b3ac-384ed42f7667","Code_118","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"8a459392-8ec2-4582-94ff-cfadab95748c","Code_119","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"4493680c-07fc-491c-9f90-c12711feffb0","Code_120","2023-12-15","C25716","http://www.cdisc.org","Visit","Code"
"15ed6759-69cc-4173-b0da-ab763f6f4f29","Code_121","2023-12-15","C51282","http://www.cdisc.org","Clinic","Code"
"e2637d73-fae9-4175-9d4c-99d3a3f94acb","Code_122","2023-12-15","C175574","http://www.cdisc.org","In Person","Code"
"b4225dab-993f-4792-9b68-98a40575f6e2","Code_80","January 31, 2018","383371000119108","SNOMED","CT of head without contrast","Code"
"eb46de5f-d3fe-4a43-8db9-2d633fb2880e","Code_81","12","123","SPONSOR","Subject Supine","Code"
"7c7b3e74-7e9a-41f3-9b0a-62074ec5b4c6","Code_82","12","124","SPONSOR","Subject Standing","Code"
"8d4093de-f3f9-4fc5-8512-b9584adc3329","Code_429","2023-12-15","C82977","http://www.cdisc.org","Dictionary-derived Term","Code"
"0b1feca6-4ae9-4262-8d20-b78758b9c267","Code_430","2023-12-15","C82571","http://www.cdisc.org","Reported Event Term","Code"
"e57c1b1b-98e8-4e44-b3af-097c61b390c7","Code_431","2023-12-15","C82517","http://www.cdisc.org","Observation Start Date Time","Code"
"90aa8c41-1301-4a6b-b770-f3c3433be5a5","Code_432","2023-12-15","C16735","http://www.cdisc.org","Informed Consent","Code"
"acdd184b-492b-40ae-9985-ee8fc2cdfbd0","Code_433","2023-12-15","C20197","http://www.cdisc.org","Male","Code"
"b4d2a75b-a447-4d91-b447-36a7e585bfea","Code_434","2023-12-15","C16576","http://www.cdisc.org","Female","Code"
"87972210-2aff-4695-9bce-6ffb8e69c9a3","Code_435","2023-12-15","C28421","http://www.cdisc.org","Sex","Code"
