"uuid:ID","id","value","label","valueLabel","windowUpper","windowLabel","windowLower","description","name","instanceType"
"b3fbfdb9-c272-40ec-a94b-6e683b251d01","Timing_1","P2W","Screening","2 weeks","","","","Screening timing","TIM1","Timing"
"c02770be-3a1f-4a19-9f05-dc8441ee178f","Timing_2","P2D","Pre dose","2 days","PT0H","-4..0 hours","PT4H","Pre dose timing","TIM2","Timing"
"09f14b52-ffbb-4b01-b314-2c40b2a836d0","Timing_3","P1D","Dosing","1 Day","","","","Dosing anchor","TIM3","Timing"
"5600d310-0d3d-4c9f-b465-a4127595930c","Timing_4","P2W","Week 2","2 Weeks","P3D","-3..3 days","P3D","Week 2 timing","TIM4","Timing"
"f46835a9-6d8d-4772-9d5f-35207abe5c98","Timing_5","P4W","Week 4","4 Weeks","P3D","-3..3 days","P3D","Week 4 timing","TIM5","Timing"
"5d9f5cc0-a535-4547-b544-20da0a824dfb","Timing_6","P6W","Week 6","6 Weeks","P3D","-3..3 days","P3D","Week 6 timing","TIM6","Timing"
"1af6aaf9-bb11-4c8a-bb94-ce6adb3dd99a","Timing_7","P8W","Week 8","8 Weeks","P3D","-3..3 days","P3D","Week 8 timing","TIM7","Timing"
"3b2e410a-0950-47dd-a591-14fd4ceeec24","Timing_9","P12W","Week 12","12 Weeks","P4D","-4..4 days","P4D","Week 12 timing","TIM9","Timing"
"1b99b112-2ef6-4e15-80ce-b37ad3d7177b","Timing_11","P16W","Week 16","16 Weeks","P4D","-4..4 days","P4D","Week 16 timing","TIM11","Timing"
"e886cd99-5ed8-4c91-940f-ba1de8012fa7","Timing_13","P20W","Week 20","20 Weeks","P4D","-4..4 days","P4D","Week 20 timing","TIM13","Timing"
"d9aad1b8-e47d-4d4d-8e18-b26ddd7d8110","Timing_15","P24W","Week 24","24 Weeks","P4D","-4..4 days","P4D","Week 24 timing","TIM15","Timing"
"c4d7affc-d82f-498d-8bc1-0ce7968d4d8c","Timing_16","P26W","Week 26","26 Weeks","P3D","-3..3 days","P3D","Week 26 timing","TIM16","Timing"
"a9e743b1-37b8-43d3-a441-742009278b10","Timing_8","P2W","Week 8 Home","2 Weeks","","","","Week 8 at home timing","TIM8","Timing"
"927e4df0-274a-4c4b-8d2e-c41c4f148788","Timing_10","P2W","Week 12 Home","2 Weeks","","","","Week 12 at home timing","TIM10","Timing"
"5080ba53-1c77-4dcb-8e43-f6e1834a2474","Timing_12","P2W","Week 16 Home","2 Weeks","","","","Week 16 at home timing","TIM12","Timing"
"f57d837c-78f7-4a8d-b1bf-661c3c75b6a5","Timing_14","P2W","Week 20 Home","2 Weeks","","","","Week 20 at home timing","TIM14","Timing"
"beb591b7-a790-44f5-ba56-d9f974f86602","Timing_17","P1D","Adverse Event","1 Day","","","","Adverse Event","TIM17","Timing"
"f76703d1-e8f3-470a-b823-7c524560065b","Timing_18","P1D","Early Termination","1 Day","","","","Early Termination","TIM18","Timing"
"4a65638d-bf82-4879-ae0b-763fe923606e","Timing_19","PT0M","Supine","0 mins","","","","Supine","TIM19","Timing"
"3b4917d7-817b-4c18-b7a1-fe23a0d41bab","Timing_20","PT5M","VS while supine","5 mins","","","","VS while supine","TIM20","Timing"
"8c5c5ab5-8eed-4905-b4cf-10af8da4e89e","Timing_21","PT0M","Standing","0 min","","","","Standing","TIM21","Timing"
"fdbd80f4-b930-4ce0-9437-9cc3b2c61a60","Timing_22","PT1M","VS while standing","1 min","","","","VS while standing","TIM22","Timing"
"00841af4-893b-46f6-9d08-9f01d41ecfd0","Timing_23","PT0M","Standing","0 min","","","","Standing","TIM23","Timing"
"3129a1d6-00c3-4be2-aaa7-2a71c130e9b7","Timing_24","PT2M","VS while standing","2 min","","","","VS while standing","TIM24","Timing"
