"datatype","label","instanceType","uuid:ID","id","isEnabled","isRequired","name"
"text","DSDECOD","BiomedicalConceptProperty","3c684ee5-74cf-4153-ba4d-e5eee480daf5","BiomedicalConceptProperty_116","True","True","DSDECOD"
"text","DSTERM","BiomedicalConceptProperty","33ff318e-c506-4aa4-8ed3-bd1d629357fe","BiomedicalConceptProperty_117","True","True","DSTERM"
"datetime","DSSTDTC","BiomedicalConceptProperty","adfb31fb-c9b0-4904-8ea1-8620b738b60c","BiomedicalConceptProperty_118","True","True","DSSTDTC"
"string","Sex","BiomedicalConceptProperty","da38beec-2c5d-46cb-93c3-b875350544d4","BiomedicalConceptProperty_119","True","True","Sex"
"string","Race","BiomedicalConceptProperty","3e73b4c4-bb70-4030-aeba-44865abd2f21","BiomedicalConceptProperty_120","True","True","Race"
"","VSTESTCD","BiomedicalConceptProperty","05f9bce9-c534-4dac-bc4b-afbabeefce41","BiomedicalConceptProperty_121","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","4dfbb7b4-4d3d-44a1-aa7c-18a6ef8a0271","BiomedicalConceptProperty_122","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","0da20ff1-4a01-4293-b6fd-25ab3280dc55","BiomedicalConceptProperty_123","True","True","VSORRESU"
"","VSLOC","BiomedicalConceptProperty","7a860f13-30a6-4fb8-aa64-fe5d9bf1aee8","BiomedicalConceptProperty_124","True","True","VSLOC"
"","VSTESTCD","BiomedicalConceptProperty","5d50c427-308a-4288-b3e8-3e4d17af9731","BiomedicalConceptProperty_125","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","8145eed6-87f6-44f3-8453-3e31c29f7c7c","BiomedicalConceptProperty_126","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","e1945a1e-280e-4862-8f63-4033c38d09f4","BiomedicalConceptProperty_127","True","True","VSORRESU"
"","VSTESTCD","BiomedicalConceptProperty","7b94e53c-caec-444c-8721-5853211c6699","BiomedicalConceptProperty_128","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","1b4efec7-f184-4f39-bacc-24c36f47d863","BiomedicalConceptProperty_129","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","81b735e1-30d2-420f-a2e8-22a7075b2d70","BiomedicalConceptProperty_130","True","True","VSORRESU"
"","LBTESTCD","BiomedicalConceptProperty","1d9cdf85-74c0-42aa-8f2b-f73401fe9752","BiomedicalConceptProperty_131","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","65dfeb0a-23f3-4945-9916-3f345c1d1092","BiomedicalConceptProperty_132","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","c48f0e4e-ca61-429e-b845-ae45cdbbc5ea","BiomedicalConceptProperty_133","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","99ff3ee4-f18c-467d-ac60-2793374c86fb","BiomedicalConceptProperty_134","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","6e7520f4-0e13-49e6-aa13-a99b9faa46d2","BiomedicalConceptProperty_135","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","8c09ebfd-e344-48f5-b59e-6c9a4b97cfbc","BiomedicalConceptProperty_136","True","True","LBTESTCD"
"text","LBORRES","BiomedicalConceptProperty","c2389251-088f-4350-9b0f-7430d7b59ea7","BiomedicalConceptProperty_137","True","True","LBORRES"
"","LBSPEC","BiomedicalConceptProperty","3f34686c-f047-408f-b3b6-dc1db50724f9","BiomedicalConceptProperty_138","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","c2ea5ae2-cb30-4de8-85b7-bae33a9cb550","BiomedicalConceptProperty_139","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","f0d58153-1461-4e29-8dc0-0191defd476e","BiomedicalConceptProperty_140","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","257129c2-3ca0-4c1d-be5d-975946f95d01","BiomedicalConceptProperty_141","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","46b82b9d-3f5a-4b1c-b752-f3eaab499d1b","BiomedicalConceptProperty_142","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","298d5e31-3849-42b5-818e-8ea70e6b3a24","BiomedicalConceptProperty_143","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","69a4f3dc-ed12-4806-b755-2b542dc5f148","BiomedicalConceptProperty_144","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","632819de-43ce-4ef0-bc47-94ba5e987d2b","BiomedicalConceptProperty_145","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","2e4f28ad-176e-4e75-b195-4bccbd140da4","BiomedicalConceptProperty_146","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","f8d986dc-edfb-41ff-8a8c-8ee26ecf610b","BiomedicalConceptProperty_147","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","6fcc0548-546a-4b04-94b0-b32b9fb63479","BiomedicalConceptProperty_148","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","e635e70c-6ba7-4df1-b0bf-4afaa00723a7","BiomedicalConceptProperty_149","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","59908be1-4c88-4914-9321-89d283130a64","BiomedicalConceptProperty_150","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","00f3de00-2513-4280-b2e2-468f651c64a0","BiomedicalConceptProperty_151","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","8fe5e898-37ee-413f-9ea4-c5d6a70198b1","BiomedicalConceptProperty_152","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","4222f994-4cbe-41ed-84ea-a8a783bea362","BiomedicalConceptProperty_153","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","decbf1fb-6fe3-4fd4-88e8-d155beaa7fa6","BiomedicalConceptProperty_154","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","f3b3b665-1ffd-422b-a284-f62f40998c9f","BiomedicalConceptProperty_155","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","471a36a4-a54b-4cd1-b66a-8b77fd00f70b","BiomedicalConceptProperty_156","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","4d789d20-0e8b-4fd9-8f78-e0820f8cffdf","BiomedicalConceptProperty_157","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","3e7128ab-33e8-4512-bd07-d19fff38695a","BiomedicalConceptProperty_158","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","2b31ef38-8145-402a-8358-2494de4279a7","BiomedicalConceptProperty_159","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","6eba0d78-eb17-4397-b1d2-a2fd15122b0a","BiomedicalConceptProperty_160","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","1da47fda-af50-433b-b776-9530546c9aa2","BiomedicalConceptProperty_161","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","492f4f19-f116-4703-906e-4ac9c5ed4989","BiomedicalConceptProperty_162","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","104fe92c-1e72-4059-accf-981ff8c4bd3e","BiomedicalConceptProperty_163","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","3df4b473-57bd-49aa-91ed-48d90909810a","BiomedicalConceptProperty_164","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","15ace4cc-f248-49a2-a1e4-470ad9e16e2c","BiomedicalConceptProperty_165","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","b064ceb6-6e0b-4d93-bb9c-b81b0b25c07a","BiomedicalConceptProperty_166","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","d8f4f6f7-c61a-46d8-b7db-1453c198597b","BiomedicalConceptProperty_167","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","08371d9d-af03-47bd-a635-1cd9b4b56070","BiomedicalConceptProperty_168","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","80edb479-6b3a-4028-aeb9-44d63a6d04e0","BiomedicalConceptProperty_169","True","True","LBFAST"
"text","AETERM","BiomedicalConceptProperty","0ee06e54-45ae-42fe-93d7-0f8795b79144","BiomedicalConceptProperty_1","True","True","AETERM"
"text","AEDECOD","BiomedicalConceptProperty","de1880b1-90d0-4084-a86f-82f35eb3ad17","BiomedicalConceptProperty_2","True","True","AEDECOD"
"text","AEPRESP","BiomedicalConceptProperty","feb588c9-ac35-4ab1-bf1b-b264cb3a2909","BiomedicalConceptProperty_3","True","True","AEPRESP"
"text","AELOC","BiomedicalConceptProperty","29ff65b5-a545-4cb2-a9db-c2d1dd32506d","BiomedicalConceptProperty_4","True","True","AELOC"
"text","AESEV","BiomedicalConceptProperty","fc1db03f-2e0e-45d0-951e-cbf91fa3d19c","BiomedicalConceptProperty_5","True","True","AESEV"
"text","AESER","BiomedicalConceptProperty","4278c421-5146-400b-9155-6a854229f4a4","BiomedicalConceptProperty_6","True","True","AESER"
"text","AEACN","BiomedicalConceptProperty","8ca40611-b41b-439e-bb5d-5d8ed1f1572a","BiomedicalConceptProperty_7","True","True","AEACN"
"text","AEACNOTH","BiomedicalConceptProperty","3f3c896a-37b2-4b6d-927b-43b53a42deb1","BiomedicalConceptProperty_8","True","True","AEACNOTH"
"text","AEREL","BiomedicalConceptProperty","834e55f6-9de7-483e-8646-28d713b21d56","BiomedicalConceptProperty_9","True","True","AEREL"
"text","AERELNST","BiomedicalConceptProperty","67c47a79-ee60-4d44-8661-4d4a07ee14d7","BiomedicalConceptProperty_10","True","True","AERELNST"
"text","AEPATT","BiomedicalConceptProperty","20ec4904-2681-4fc0-b401-3bdfa3a03f67","BiomedicalConceptProperty_11","True","True","AEPATT"
"text","AEOUT","BiomedicalConceptProperty","b8a60cd5-e151-49f7-b4f1-a7bf2fe1cba6","BiomedicalConceptProperty_12","True","True","AEOUT"
"text","AESCAN","BiomedicalConceptProperty","621884f4-e591-4d90-9d03-77d9f0ad147e","BiomedicalConceptProperty_13","True","True","AESCAN"
"text","AESCONG","BiomedicalConceptProperty","c65b68a8-1ba6-4f94-abf4-ebaa087cd5f1","BiomedicalConceptProperty_14","True","True","AESCONG"
"text","AESDISAB","BiomedicalConceptProperty","ebb47381-e97a-4e63-a94d-7e0c59e86d18","BiomedicalConceptProperty_15","True","True","AESDISAB"
"text","AESDTH","BiomedicalConceptProperty","82e51823-f003-4b56-a290-314804085b83","BiomedicalConceptProperty_16","True","True","AESDTH"
"text","AESHOSP","BiomedicalConceptProperty","1ba966be-1f02-41d0-a99c-646b23b51756","BiomedicalConceptProperty_17","True","True","AESHOSP"
"text","AESLIFE","BiomedicalConceptProperty","f36cdf77-36f4-4fac-b455-6c59e7dd7b7e","BiomedicalConceptProperty_18","True","True","AESLIFE"
"text","AESOD","BiomedicalConceptProperty","7ebd277d-b0e4-43c5-9d6a-c630b970f653","BiomedicalConceptProperty_19","True","True","AESOD"
"text","AESMIE","BiomedicalConceptProperty","9130770e-41f9-43a5-9960-1e7776e1159c","BiomedicalConceptProperty_20","True","True","AESMIE"
"text","AECONTRT","BiomedicalConceptProperty","28be1e40-67e1-46f6-a9ab-16d8bda39644","BiomedicalConceptProperty_21","True","True","AECONTRT"
"datetime","AESTDTC","BiomedicalConceptProperty","14e84d49-7403-4006-b003-fe36ac56f46c","BiomedicalConceptProperty_22","True","True","AESTDTC"
"datetime","AEENDTC","BiomedicalConceptProperty","33cc5b91-fe7e-4b84-b534-b4303d4b7c7f","BiomedicalConceptProperty_23","True","True","AEENDTC"
"","VSTESTCD","BiomedicalConceptProperty","dd053739-567b-4d3a-a744-f792c0e061ea","BiomedicalConceptProperty_24","True","True","VSTESTCD"
"integer","VSORRES","BiomedicalConceptProperty","84a10ff9-87bd-4366-ad24-d8ba8275492d","BiomedicalConceptProperty_25","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","b7c5653b-109c-463b-8177-d853a86412fe","BiomedicalConceptProperty_26","True","True","VSORRESU"
"","VSPOS","BiomedicalConceptProperty","db6bc044-3f59-4866-bde7-3c50216f3aed","BiomedicalConceptProperty_27","True","True","VSPOS"
"","VSLOC","BiomedicalConceptProperty","d1b68d85-7758-405e-961a-fd07a30f3eed","BiomedicalConceptProperty_28","True","True","VSLOC"
"","VSLAT","BiomedicalConceptProperty","b46938a2-c46b-475e-9411-1601a9525b71","BiomedicalConceptProperty_29","True","True","VSLAT"
"","VSTESTCD","BiomedicalConceptProperty","e8b70f76-7921-47c5-af49-cc73058be02f","BiomedicalConceptProperty_30","True","True","VSTESTCD"
"integer","VSORRES","BiomedicalConceptProperty","81c0fee7-8d74-49b0-aab0-f26d831530f2","BiomedicalConceptProperty_31","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","92e62422-c676-41e7-bf8c-e41cdb68a9f9","BiomedicalConceptProperty_32","True","True","VSORRESU"
"","VSPOS","BiomedicalConceptProperty","4d5743c5-3fa4-4ecf-a444-8735dab5e882","BiomedicalConceptProperty_33","True","True","VSPOS"
"","VSLOC","BiomedicalConceptProperty","e4183111-571e-459c-abdc-cb70fba17eb2","BiomedicalConceptProperty_34","True","True","VSLOC"
