"text","label","instanceType","uuid:ID","id","purpose","description","name"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint","36608417-252d-4282-baae-9d27ebfd5763","Endpoint_1","","","END1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint","b07a218e-0be2-4a01-8b74-ee2c8102d4b6","Endpoint_2","","","END2"
"Adverse events","","Endpoint","97c9b82d-e869-45de-8c5b-5c856ba05427","Endpoint_3","","","END3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint","0dcd12d7-1ca1-41df-afb9-91b54628a621","Endpoint_4","","","END4"
"Laboratory evaluations (Change from Baseline)","","Endpoint","e6e42b17-95c4-4101-8dcd-150498d4af79","Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint","670130aa-93f3-4dea-87c1-f4a082b26196","Endpoint_6","","","END6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint","92f79746-a459-4a88-8fab-e3780dff9d9b","Endpoint_7","","","END7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint","2d707532-16ca-411b-9bd4-84a5974ffaec","Endpoint_8","","","END8"
"*** To be determined from protocol ***","","Endpoint","a12294f2-d0f5-41e9-8c32-9c0108983a40","Endpoint_9","","","END9"
"*** To be determined from protocol ***","","Endpoint","caf755bd-526c-475f-96c8-f91f18fdc238","Endpoint_10","","","END10"
"*** To be determined from protocol ***","","Endpoint","90e10703-f3dd-4854-823b-1766e6cb1f76","Endpoint_11","","","END11"
