"label","instanceType","uuid:ID","id","description","name"
"Screen One","ScheduledActivityInstance","2bf1d4e9-016f-48dc-92b2-13d9a5982931","ScheduledActivityInstance_9","-","SCREEN1"
"Screen Two","ScheduledActivityInstance","349a0ea7-1d1e-4c5e-b4a6-d893abfcb9e6","ScheduledActivityInstance_10","-","SCREEN2"
"Dose","ScheduledActivityInstance","5376fce5-62f1-4181-8aae-76d094db8184","ScheduledActivityInstance_11","-","DOSE"
"Week 2","ScheduledActivityInstance","077c6ea3-cdcb-4a34-8736-47c78daa28a3","ScheduledActivityInstance_12","-","WK2"
"Week 4","ScheduledActivityInstance","442a13a4-3aa0-434b-a791-4c585025d8fc","ScheduledActivityInstance_13","-","WK4"
"Week 6","ScheduledActivityInstance","d2efaa4b-1aea-4801-91ac-c48e08fad55a","ScheduledActivityInstance_14","-","WK6"
"Week 8","ScheduledActivityInstance","c9aba299-6b89-4385-baf1-2d317477f0c8","ScheduledActivityInstance_15","-","WK8"
"Week NPI","ScheduledActivityInstance","5bc7e4b9-2712-4111-8bd6-daac8d0b534c","ScheduledActivityInstance_16","-","WK8N"
"Week 12","ScheduledActivityInstance","db039023-04cc-4957-a4c1-9f01ecf52013","ScheduledActivityInstance_17","-","WK12"
"Week 12 NPI","ScheduledActivityInstance","8805ffbb-7e6c-4684-a014-e26d7444f74c","ScheduledActivityInstance_18","-","WK12N"
"Week 16","ScheduledActivityInstance","5ce2c75a-c717-4024-b390-20c31e512425","ScheduledActivityInstance_19","-","WK16"
"Week 16 NPI","ScheduledActivityInstance","055ac23c-d830-4619-8ff2-dad620215cc3","ScheduledActivityInstance_20","-","WK16N"
"Week 20","ScheduledActivityInstance","8567c732-e32d-496a-84b3-3dd0d6180521","ScheduledActivityInstance_21","-","WK20"
"Week 20 NPI","ScheduledActivityInstance","b1404965-4a88-4911-add9-a03a3cdcab17","ScheduledActivityInstance_22","-","WK20N"
"Week 24","ScheduledActivityInstance","7537d7fa-4b0c-4ce7-92ad-a4bb3028f378","ScheduledActivityInstance_23","-","WK24"
"Week 26","ScheduledActivityInstance","9b9b994f-3199-4c0d-b70e-bf8022d6e337","ScheduledActivityInstance_24","-","WK26"
"Adevers Event","ScheduledActivityInstance","935cb67d-9974-4527-a113-c93292d81013","ScheduledActivityInstance_1","-","AE"
"Early Termination","ScheduledActivityInstance","fccfcb2f-165c-49bf-b284-b4566184701b","ScheduledActivityInstance_2","-","ET"
"5 minute supine","ScheduledActivityInstance","874b0fd0-0c9e-4879-9a3a-f01f38a035d7","ScheduledActivityInstance_3","","VS_5MIN"
"Vital signs supine","ScheduledActivityInstance","84dd4ad0-24f0-452f-8c3e-ad15f0775ea7","ScheduledActivityInstance_4","","VS_SUPINE"
"1 minute standing","ScheduledActivityInstance","e9d6dbe1-2ab4-44d4-bfb8-2b43e6e1fda1","ScheduledActivityInstance_5","","VS_1MIN"
"Vital signs after 1 min standing","ScheduledActivityInstance","61e2de78-540f-4b26-8d7a-dfbafc874179","ScheduledActivityInstance_6","","VS_STAND1"
"2 minute standing","ScheduledActivityInstance","6e8dda75-ed5a-4133-a4a7-fad345aba7ff","ScheduledActivityInstance_7","","VS_2MIN"
"Vital signs after 3 min standing","ScheduledActivityInstance","a71f09b9-5053-4612-94ec-236d6d91c47d","ScheduledActivityInstance_8","","VS_STAND3"
