"label","windowLower","instanceType","uuid:ID","id","windowUpper","value","description","valueLabel","windowLabel","name"
"Screening","","Timing","047483b4-fb8d-484d-8738-9d13029938c5","Timing_1","","P2W","Screening timing","2 weeks","","TIM1"
"Pre dose","PT4H","Timing","8e38bca4-85ef-4441-b29c-cb220c5fbe7c","Timing_2","PT0H","P2D","Pre dose timing","2 days","-4..0 hours","TIM2"
"Dosing","","Timing","8bc15674-5aef-420f-947d-11536c22bd59","Timing_3","","P1D","Dosing anchor","1 Day","","TIM3"
"Week 2","P3D","Timing","3c6d7b3f-8122-430e-be5d-438d21a36b96","Timing_4","P3D","P2W","Week 2 timing","2 Weeks","-3..3 days","TIM4"
"Week 4","P3D","Timing","e4cae79b-ccf8-4d33-9734-b03aca223d55","Timing_5","P3D","P4W","Week 4 timing","4 Weeks","-3..3 days","TIM5"
"Week 6","P3D","Timing","c0403470-535b-45d7-ba3a-ba29a4cd9d1b","Timing_6","P3D","P6W","Week 6 timing","6 Weeks","-3..3 days","TIM6"
"Week 8","P3D","Timing","4c22abe1-9008-4edb-bcd2-70a58aef036b","Timing_7","P3D","P8W","Week 8 timing","8 Weeks","-3..3 days","TIM7"
"Week 12","P4D","Timing","c71f022b-eaa2-4c05-93e2-7e4b48e46763","Timing_9","P4D","P12W","Week 12 timing","12 Weeks","-4..4 days","TIM9"
"Week 16","P4D","Timing","eb1df3c1-b3db-4361-a8ea-00d95233b9a0","Timing_11","P4D","P16W","Week 16 timing","16 Weeks","-4..4 days","TIM11"
"Week 20","P4D","Timing","0b708f95-ff41-41cd-8ebf-8b62cefb04c2","Timing_13","P4D","P20W","Week 20 timing","20 Weeks","-4..4 days","TIM13"
"Week 24","P4D","Timing","69ae03d8-c422-4b89-9b28-e0d33919e6dd","Timing_15","P4D","P24W","Week 24 timing","24 Weeks","-4..4 days","TIM15"
"Week 26","P3D","Timing","8885bc1c-5c39-4541-b10d-af0abebb820c","Timing_16","P3D","P26W","Week 26 timing","26 Weeks","-3..3 days","TIM16"
"Week 8 Home","","Timing","14fc3518-059d-455d-b4f1-91b3d59a6113","Timing_8","","P2W","Week 8 at home timing","2 Weeks","","TIM8"
"Week 12 Home","","Timing","385f760a-36fc-4dac-a6c6-0671e6169eee","Timing_10","","P2W","Week 12 at home timing","2 Weeks","","TIM10"
"Week 16 Home","","Timing","b30f1f36-ec7a-4d05-b635-c7fd1fb7ab1a","Timing_12","","P2W","Week 16 at home timing","2 Weeks","","TIM12"
"Week 20 Home","","Timing","b2baab1c-f979-45aa-bac8-3aa839500060","Timing_14","","P2W","Week 20 at home timing","2 Weeks","","TIM14"
"Adverse Event","","Timing","068322be-a3d7-40f1-9ab0-cecd3b1659d3","Timing_17","","P1D","Adverse Event","1 Day","","TIM17"
"Early Termination","","Timing","05769c5d-d566-4832-9f3d-932f6389ad9a","Timing_18","","P1D","Early Termination","1 Day","","TIM18"
"Supine","","Timing","644eb2e6-cb48-410a-a53f-3c8311d47cc6","Timing_19","","PT0M","Supine","0 mins","","TIM19"
"VS while supine","","Timing","23b45a9c-54c3-4857-9ec9-4f07e6f63939","Timing_20","","PT5M","VS while supine","5 mins","","TIM20"
"Standing","","Timing","9e276411-e338-414e-9a6f-b82473771571","Timing_21","","PT0M","Standing","0 min","","TIM21"
"VS while standing","","Timing","210fe500-34a8-4e68-8085-0cdfa6d97944","Timing_22","","PT1M","VS while standing","1 min","","TIM22"
"Standing","","Timing","b5af3368-d86a-4425-9955-e9356bc8b357","Timing_23","","PT0M","Standing","0 min","","TIM23"
"VS while standing","","Timing","8e1b628d-0ed7-4fe0-849b-be7fdeea6a48","Timing_24","","PT2M","VS while standing","2 min","","TIM24"
