"name","uuid:ID","datatype","instanceType","id","isEnabled","isRequired","label"
"DSDECOD","fdc22604-1db0-46cc-b94f-5c3f8cb989fc","text","BiomedicalConceptProperty","BiomedicalConceptProperty_116","True","True","DSDECOD"
"DSTERM","3eb40eaf-91d7-46d1-a566-e3b4fbd2f029","text","BiomedicalConceptProperty","BiomedicalConceptProperty_117","True","True","DSTERM"
"DSSTDTC","7726efec-b84a-4b60-9501-a0463d1bb26f","datetime","BiomedicalConceptProperty","BiomedicalConceptProperty_118","True","True","DSSTDTC"
"Sex","ec36f865-e1f8-45ea-9562-8519cdce9bca","string","BiomedicalConceptProperty","BiomedicalConceptProperty_119","True","True","Sex"
"Race","1dde858a-9458-4713-af6f-a243046a1007","string","BiomedicalConceptProperty","BiomedicalConceptProperty_120","True","True","Race"
"VSTESTCD","4c3ff8f0-af92-40d0-ba02-6943da38d7cc","","BiomedicalConceptProperty","BiomedicalConceptProperty_121","True","True","VSTESTCD"
"VSORRES","9f10d3e9-0184-46d2-b465-7553aab9701d","float","BiomedicalConceptProperty","BiomedicalConceptProperty_122","True","True","VSORRES"
"VSORRESU","83c75c3a-3694-48e2-b8ac-1c54f96611c1","","BiomedicalConceptProperty","BiomedicalConceptProperty_123","True","True","VSORRESU"
"VSLOC","a3a6efb2-8f15-4820-9a64-40ce949ca309","","BiomedicalConceptProperty","BiomedicalConceptProperty_124","True","True","VSLOC"
"VSTESTCD","39fb1574-2945-4899-ae6a-d49dec0d4580","","BiomedicalConceptProperty","BiomedicalConceptProperty_125","True","True","VSTESTCD"
"VSORRES","848f9694-ef98-42c1-a4e4-9b62c7225c46","float","BiomedicalConceptProperty","BiomedicalConceptProperty_126","True","True","VSORRES"
"VSORRESU","5761d19d-0817-4851-a841-e77eb2cfd294","","BiomedicalConceptProperty","BiomedicalConceptProperty_127","True","True","VSORRESU"
"VSTESTCD","5f43d9cc-0755-47ee-b633-cd5be61f9a89","","BiomedicalConceptProperty","BiomedicalConceptProperty_128","True","True","VSTESTCD"
"VSORRES","c4c3461b-e52c-429f-8fbc-d9c6c737d5e4","float","BiomedicalConceptProperty","BiomedicalConceptProperty_129","True","True","VSORRES"
"VSORRESU","1720be1c-1710-448b-bb66-5db1823c1fbc","","BiomedicalConceptProperty","BiomedicalConceptProperty_130","True","True","VSORRESU"
"LBTESTCD","2bf1d91e-c1cf-430a-81ef-13efc276da1d","","BiomedicalConceptProperty","BiomedicalConceptProperty_131","True","True","LBTESTCD"
"LBORRES","f11c47c8-790e-492e-af1a-56935555d4a9","float","BiomedicalConceptProperty","BiomedicalConceptProperty_132","True","True","LBORRES"
"LBORRESU","3ee8cada-f6fe-4e7b-8f0f-7d824122148a","","BiomedicalConceptProperty","BiomedicalConceptProperty_133","True","True","LBORRESU"
"LBSPEC","230e9773-e7e5-464a-9cc1-c791686e8412","","BiomedicalConceptProperty","BiomedicalConceptProperty_134","True","True","LBSPEC"
"LBFAST","b5fcd25a-2c79-4ea1-846a-65fd1147d6fc","","BiomedicalConceptProperty","BiomedicalConceptProperty_135","True","True","LBFAST"
"LBTESTCD","e488029d-39e3-41f6-b40f-d1e51af2c8ec","","BiomedicalConceptProperty","BiomedicalConceptProperty_136","True","True","LBTESTCD"
"LBORRES","bf8b6efb-9b27-4377-bfd5-988b5f98c8e7","text","BiomedicalConceptProperty","BiomedicalConceptProperty_137","True","True","LBORRES"
"LBSPEC","8993b82d-6426-45a2-9db0-647b8c704936","","BiomedicalConceptProperty","BiomedicalConceptProperty_138","True","True","LBSPEC"
"LBFAST","ca00efe7-6deb-4f6c-aa16-84218637c78c","","BiomedicalConceptProperty","BiomedicalConceptProperty_139","True","True","LBFAST"
