"name","uuid:ID","instanceType","id","description","label"
"E1","fd89bcf0-ef53-4a4b-ba1d-5dc316335c2d","Encounter","Encounter_1","Screening encounter","Screening 1"
"E2","8a270cd4-8e0c-4a13-b110-9fb867b1162a","Encounter","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2"
"E3","a8abd385-9533-4d2f-8cb7-506203c98b0d","Encounter","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline"
"E4","d6c8bf50-7b87-4a2c-94fc-a22cba5afa69","Encounter","Encounter_4","Day 14","Week 2"
"E5","f68a595c-1fce-4d23-9636-e94ec79a0dac","Encounter","Encounter_5","Day 28","Week 4"
"E7","6c66bed9-b2ee-474e-afb9-446f3badc75b","Encounter","Encounter_6","Day 42","Week 6"
"E8","ee0c02a4-eae5-46a8-82f7-f2673553b701","Encounter","Encounter_7","Day 56","Week 8"
"E9","693fd345-cae7-4fc5-a2f8-6be4657e263a","Encounter","Encounter_8","Day 84","Week 12"
"E10","ef44152b-5446-4a5d-bac5-0e16eae3511d","Encounter","Encounter_9","Day 112","Week 16"
"E11","a5e61b5f-0042-47a4-b1a6-6da5538cfded","Encounter","Encounter_10","Day 140","Week 20"
"E12","c8ca7625-0937-4231-bbaa-585b4bb173c9","Encounter","Encounter_11","Day 168","Week 24"
"E13","84ae5a40-878f-4562-bc29-89f456b55c4c","Encounter","Encounter_12","Day 182","Week 26"
