"name","uuid:ID","instanceType","id","description","label"
"SCREEN1","5c5e8fc3-3336-471d-b336-e0762dac61c2","ScheduledActivityInstance","ScheduledActivityInstance_9","-","Screen One"
"SCREEN2","7332a2ec-a960-46dd-8e55-cabfad8eaf24","ScheduledActivityInstance","ScheduledActivityInstance_10","-","Screen Two"
"DOSE","4b6954f6-d875-4feb-b099-3355c18d841a","ScheduledActivityInstance","ScheduledActivityInstance_11","-","Dose"
"WK2","1c8b3794-93a0-46cd-a84e-00c8539a7e18","ScheduledActivityInstance","ScheduledActivityInstance_12","-","Week 2"
"WK4","89dacbc5-ddca-4e90-b4f8-df8594e4055e","ScheduledActivityInstance","ScheduledActivityInstance_13","-","Week 4"
"WK6","c6ce84cb-74c3-439a-ada7-f9092b0c2fd9","ScheduledActivityInstance","ScheduledActivityInstance_14","-","Week 6"
"WK8","c6d1b720-ac11-4b77-956f-1a27f8645e81","ScheduledActivityInstance","ScheduledActivityInstance_15","-","Week 8"
"WK8N","3e3441f8-3d06-4382-a28b-b3b4ca419fb2","ScheduledActivityInstance","ScheduledActivityInstance_16","-","Week NPI"
"WK12","e6f51af9-57e8-4676-84aa-75333120344e","ScheduledActivityInstance","ScheduledActivityInstance_17","-","Week 12"
"WK12N","7e81aa30-6834-4084-bdc5-0ff8620c47a2","ScheduledActivityInstance","ScheduledActivityInstance_18","-","Week 12 NPI"
"WK16","16b835cf-740a-41b9-bb14-fcaf83374c3e","ScheduledActivityInstance","ScheduledActivityInstance_19","-","Week 16"
"WK16N","81581ec9-4250-41e5-bfa9-029b4f6d38cb","ScheduledActivityInstance","ScheduledActivityInstance_20","-","Week 16 NPI"
"WK20","f33a04a8-b7a2-4089-87e3-373eef3dbfe9","ScheduledActivityInstance","ScheduledActivityInstance_21","-","Week 20"
"WK20N","45924504-f15d-4360-820e-79a639674063","ScheduledActivityInstance","ScheduledActivityInstance_22","-","Week 20 NPI"
"WK24","b49a3941-105e-495a-a0e5-d075599788ac","ScheduledActivityInstance","ScheduledActivityInstance_23","-","Week 24"
"WK26","b0904b9e-d54d-43c9-91e8-cd8b2f2da41d","ScheduledActivityInstance","ScheduledActivityInstance_24","-","Week 26"
"AE","fe6af3f4-8bf4-4032-8015-1328f3bf17e5","ScheduledActivityInstance","ScheduledActivityInstance_1","-","Adevers Event"
"ET","e7d8e716-e5cd-43d7-883c-5269f0e650d0","ScheduledActivityInstance","ScheduledActivityInstance_2","-","Early Termination"
"VS_5MIN","db992e7e-445d-43c2-9d94-dfff18a52336","ScheduledActivityInstance","ScheduledActivityInstance_3","","5 minute supine"
"VS_SUPINE","c079076a-ddc5-438f-9cab-9628895586eb","ScheduledActivityInstance","ScheduledActivityInstance_4","","Vital signs supine"
"VS_1MIN","c013aefb-0400-4169-b488-dac9297aa9ee","ScheduledActivityInstance","ScheduledActivityInstance_5","","1 minute standing"
"VS_STAND1","be9f436c-e16a-4b6a-b4df-4b11d2b4e96f","ScheduledActivityInstance","ScheduledActivityInstance_6","","Vital signs after 1 min standing"
"VS_2MIN","94f4398a-d148-4be7-91bc-acbafc1033d7","ScheduledActivityInstance","ScheduledActivityInstance_7","","2 minute standing"
"VS_STAND3","fe9fc376-5f60-4796-b548-7c32d658e1ef","ScheduledActivityInstance","ScheduledActivityInstance_8","","Vital signs after 3 min standing"
