"uuid:ID","instanceType","id"
"a3d63fcc-9c89-4f38-b135-f1e7ba1c3a95","StudyCell","StudyCell_1"
"e0d2de4d-9c50-4352-a4a8-733e4d5e7b5e","StudyCell","StudyCell_2"
"a9d1aa35-7471-418b-9619-05a9f845c37f","StudyCell","StudyCell_3"
"e258cbdb-f8f1-4a7d-9184-c95f966f8831","StudyCell","StudyCell_4"
"a101f1e8-e1dd-4c3d-9f73-d75640c129c8","StudyCell","StudyCell_5"
"fbba61bf-4e04-4589-bc3a-e85ceca5868e","StudyCell","StudyCell_6"
"6c5c3b1a-9208-4aec-98b1-ba20e2046077","StudyCell","StudyCell_7"
"359a9b86-045d-47aa-898c-7af8586b4cac","StudyCell","StudyCell_8"
"11e95ce1-ca67-4191-84b0-339fb4563584","StudyCell","StudyCell_9"
"9292238d-ba5d-481c-9845-b9b11f24b9c8","StudyCell","StudyCell_10"
"5ae86e5e-da12-4916-bf92-5882f48e9983","StudyCell","StudyCell_11"
"43769484-4c0a-426c-8885-a8eb8d9ae650","StudyCell","StudyCell_12"
"8f5d5eab-7d65-4525-aefe-58e913d6602b","StudyCell","StudyCell_13"
"870f9ecd-703f-4d3e-a519-4fb2fcbae983","StudyCell","StudyCell_14"
"1b2db485-7913-4814-9205-709b899066d3","StudyCell","StudyCell_15"
