"isEnabled","isRequired","uuid:ID","instanceType","datatype","name","id","label"
"True","True","c90658c6-9b33-4a73-8bed-2ef504a887cb","BiomedicalConceptProperty","text","DSDECOD","BiomedicalConceptProperty_116","DSDECOD"
"True","True","d21b19d5-c516-4911-a9d4-d2fbbed7256c","BiomedicalConceptProperty","text","DSTERM","BiomedicalConceptProperty_117","DSTERM"
"True","True","d5914bbf-d7b3-4865-b6aa-944abb1da050","BiomedicalConceptProperty","datetime","DSSTDTC","BiomedicalConceptProperty_118","DSSTDTC"
"True","True","60c0dc54-28c9-4f87-9d85-996b52943f53","BiomedicalConceptProperty","string","Sex","BiomedicalConceptProperty_119","Sex"
"True","True","97ce7189-67a2-444a-9fd2-c690b00d8eb4","BiomedicalConceptProperty","string","Race","BiomedicalConceptProperty_120","Race"
"True","True","51a18a0c-293f-4f29-9ab3-6f4a763248b5","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_121","VSTESTCD"
"True","True","a7728593-f148-4e3e-938f-35c841cda749","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_122","VSORRES"
"True","True","4a0969c5-61c5-4257-977f-88c284562e3b","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_123","VSORRESU"
"True","True","96e77c62-97de-4d3e-96ef-2617297c5097","BiomedicalConceptProperty","","VSLOC","BiomedicalConceptProperty_124","VSLOC"
"True","True","606be810-97e4-406c-b8e5-fb49558c17b9","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_125","VSTESTCD"
"True","True","c9483d1f-5bbf-4469-a6d2-4b741d45ab09","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_126","VSORRES"
"True","True","e55239d4-ddcf-48df-8a73-117ad1bc99a8","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_127","VSORRESU"
"True","True","9ea56f5d-0df1-4549-80a7-3b01bd0203fd","BiomedicalConceptProperty","","VSTESTCD","BiomedicalConceptProperty_128","VSTESTCD"
"True","True","751cf4ef-03b3-4881-b94a-ca8091ac660c","BiomedicalConceptProperty","float","VSORRES","BiomedicalConceptProperty_129","VSORRES"
"True","True","46770771-3978-46fb-a2f4-daa9106fbcaa","BiomedicalConceptProperty","","VSORRESU","BiomedicalConceptProperty_130","VSORRESU"
"True","True","ab94c580-9084-4d14-97ed-f80723ce9fb4","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_131","LBTESTCD"
"True","True","4832b084-17c9-4509-9d03-b38767657282","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_132","LBORRES"
"True","True","4b97768f-aaad-4705-bc3d-4ef83da1c420","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_133","LBORRESU"
"True","True","3dfeecda-656a-4c53-8698-a8f31783fd5a","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_134","LBSPEC"
"True","True","61c10966-0d92-4dc4-8636-99c7065aea7d","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_135","LBFAST"
"True","True","f90f51e3-51f1-4bf4-99e6-2dda30f3ca90","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_136","LBTESTCD"
"True","True","96de5f67-a402-4709-9e68-155936f119fe","BiomedicalConceptProperty","text","LBORRES","BiomedicalConceptProperty_137","LBORRES"
"True","True","36f5e458-7c30-451d-9363-cbcb22a93785","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_138","LBSPEC"
"True","True","4f4136ef-f228-435f-bb59-697e7e7b2390","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_139","LBFAST"
"True","True","bc36fd28-c4fd-4342-a157-6eb0f6b07187","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_140","LBTESTCD"
"True","True","779a78c8-ab4b-4c80-9e5e-ca4acdbec96c","BiomedicalConceptProperty","float","LBORRES","BiomedicalConceptProperty_141","LBORRES"
"True","True","2b29fffc-eb7f-42db-ba42-1eb8d5b9b77b","BiomedicalConceptProperty","","LBORRESU","BiomedicalConceptProperty_142","LBORRESU"
"True","True","5facdb87-e5b3-4b4d-9a98-12c53215f1d1","BiomedicalConceptProperty","","LBSPEC","BiomedicalConceptProperty_143","LBSPEC"
"True","True","937f67d3-cf9b-4f30-813e-5141e4b959eb","BiomedicalConceptProperty","","LBFAST","BiomedicalConceptProperty_144","LBFAST"
"True","True","fea5eb14-f6ea-4982-82a6-9cc4d35e72d8","BiomedicalConceptProperty","","LBTESTCD","BiomedicalConceptProperty_145","LBTESTCD"
