"uuid:ID","instanceType","name","text","id"
"14fa9c35-9afa-4f64-a341-569fe076eedf","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1"
"263c95bc-351e-446c-876a-c4eb45462a00","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2"
"e203c41e-595a-46ac-835b-0a16067ee3b6","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"03194e6f-2cde-4857-aedb-9333ae7116c4","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"26aa1b0d-0f6f-4b19-82de-9a8a820a6a0b","TransitionRule","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5"
"ed053742-3233-464e-9182-671ce0ab89cc","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6"
"2339dc14-0073-483f-9d4b-54f820a48077","TransitionRule","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7"
"08b82fe8-e9b4-4b33-92ea-a03d6995f344","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"6475ceff-bd2c-4c0f-ba31-fe85fa867a53","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9"
"2113c8b3-7fee-43e5-8241-a3c04bff12b1","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"a0bd74d2-b328-489e-853d-2e2608089dcc","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"dcf49286-4173-444a-8d22-e17599774745","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10"
"751765d0-d5c3-4902-a5aa-8a6b18ec9dcb","TransitionRule","ELEMENT_START_RULE_4","Randomized","TransitionRule_11"
"70d9ecbd-3a1e-4a7c-b032-31fb0e24d368","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"2f6aac03-05d7-411b-a518-a35ecec3a6d2","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
