"datatype","label","instanceType","uuid:ID","id","isEnabled","isRequired","name"
"text","DSDECOD","BiomedicalConceptProperty","0f1557a8-362b-4c85-93c1-8cdf7ae40f81","BiomedicalConceptProperty_116","True","True","DSDECOD"
"text","DSTERM","BiomedicalConceptProperty","c8f8fcfc-9007-45e3-a691-2e167b4772fa","BiomedicalConceptProperty_117","True","True","DSTERM"
"datetime","DSSTDTC","BiomedicalConceptProperty","4f8d34ad-5efd-43d9-a243-5db3108cb617","BiomedicalConceptProperty_118","True","True","DSSTDTC"
"string","Sex","BiomedicalConceptProperty","247cd3e4-ba18-451f-b995-77c26b2f2cbe","BiomedicalConceptProperty_119","True","True","Sex"
"string","Race","BiomedicalConceptProperty","eafad54a-06c9-40ed-9973-586eb40507b8","BiomedicalConceptProperty_120","True","True","Race"
"","VSTESTCD","BiomedicalConceptProperty","f600ac86-f760-49f9-96c8-95e8803bb1fe","BiomedicalConceptProperty_121","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","37bd5bef-b9f9-4e15-9cbb-b3878dec736d","BiomedicalConceptProperty_122","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","744ce42b-aa60-433f-965c-08013393e4a0","BiomedicalConceptProperty_123","True","True","VSORRESU"
"","VSLOC","BiomedicalConceptProperty","cb65656c-6473-4bbd-88f3-1ca2cd63c40d","BiomedicalConceptProperty_124","True","True","VSLOC"
"","VSTESTCD","BiomedicalConceptProperty","7a578af6-f4ac-4915-ab23-d5ace0c1125c","BiomedicalConceptProperty_125","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","4a5e5db0-6f59-4677-8621-dcabd2bb645b","BiomedicalConceptProperty_126","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","cbc5313a-7172-490d-aa12-b6a3dc98b33f","BiomedicalConceptProperty_127","True","True","VSORRESU"
"","VSTESTCD","BiomedicalConceptProperty","77a72999-8d01-43df-a08b-d0a5a1adb45b","BiomedicalConceptProperty_128","True","True","VSTESTCD"
"float","VSORRES","BiomedicalConceptProperty","18a3a9d0-03c1-4516-8fcc-cadd3b65ae45","BiomedicalConceptProperty_129","True","True","VSORRES"
"","VSORRESU","BiomedicalConceptProperty","3ab7d09b-64ab-4e86-998b-c72786adb56a","BiomedicalConceptProperty_130","True","True","VSORRESU"
"","LBTESTCD","BiomedicalConceptProperty","42096026-8ac0-4062-ac39-b3dcad75211d","BiomedicalConceptProperty_131","True","True","LBTESTCD"
"float","LBORRES","BiomedicalConceptProperty","cb4da4d0-f036-462b-83ff-07d4c5b2666d","BiomedicalConceptProperty_132","True","True","LBORRES"
"","LBORRESU","BiomedicalConceptProperty","82affe82-36d9-4742-9b1e-9b4ea8a3931a","BiomedicalConceptProperty_133","True","True","LBORRESU"
"","LBSPEC","BiomedicalConceptProperty","fe2f3c32-3b81-4624-bfc4-d2c9d14af6fa","BiomedicalConceptProperty_134","True","True","LBSPEC"
"","LBFAST","BiomedicalConceptProperty","d473bd60-6048-4f14-8c15-b31f70b92959","BiomedicalConceptProperty_135","True","True","LBFAST"
"","LBTESTCD","BiomedicalConceptProperty","a30803c4-f26d-461e-8efb-3a15e688de67","BiomedicalConceptProperty_136","True","True","LBTESTCD"
