"id","instanceType","uuid:ID"
"StudyCell_1","StudyCell","64a9cbb3-cdd0-42d6-8aff-9be2337f404a"
"StudyCell_2","StudyCell","6add2aa9-7346-4692-99aa-a47ddafc6cdc"
"StudyCell_3","StudyCell","31e0fe70-3b61-499c-9be0-2ea16be11ea7"
"StudyCell_4","StudyCell","0a4ab40a-11db-4f80-81e6-88fe8ab1b829"
"StudyCell_5","StudyCell","9f018dd6-06c7-40f9-9204-4862965912e6"
"StudyCell_6","StudyCell","d3c2f665-da6f-4400-ba33-f2c1d91cc205"
"StudyCell_7","StudyCell","6cca829c-1e2d-42ca-ad17-60348e5e3927"
"StudyCell_8","StudyCell","47018795-4b98-45ce-aa9e-064092f767ef"
"StudyCell_9","StudyCell","8d47d328-175c-4669-a8e9-7e73b6092643"
"StudyCell_10","StudyCell","b451c936-c3f4-4b25-af89-baa9dcc55535"
"StudyCell_11","StudyCell","a15f3adc-f1df-42c4-8c21-463301d1488f"
"StudyCell_12","StudyCell","77fd4f58-fa3f-430f-b8c6-4def14a9a81e"
"StudyCell_13","StudyCell","80a4cc5c-734e-4db1-9585-1f8701ea936f"
"StudyCell_14","StudyCell","cfaec523-a875-4e71-b877-4598607160dc"
"StudyCell_15","StudyCell","bc7c605f-3736-49dd-889d-493cc9fb70cb"
