"label","windowLower","instanceType","uuid:ID","id","windowUpper","value","description","valueLabel","windowLabel","name"
"Screening","","Timing","cac243a7-3ab4-4112-9b1c-6c12080f61bf","Timing_1","","P2W","Screening timing","2 weeks","","TIM1"
"Pre dose","PT4H","Timing","c2403c72-a77a-4a03-b255-e85970758b6c","Timing_2","PT0H","P2D","Pre dose timing","2 days","-4..0 hours","TIM2"
"Dosing","","Timing","14eb1322-159f-48a1-b979-e654d1ef439d","Timing_3","","P1D","Dosing anchor","1 Day","","TIM3"
"Week 2","P3D","Timing","d979d00b-f7ef-4cd8-9522-9669e58ec8da","Timing_4","P3D","P2W","Week 2 timing","2 Weeks","-3..3 days","TIM4"
"Week 4","P3D","Timing","e0fee1d4-c782-4622-8b22-631708660389","Timing_5","P3D","P4W","Week 4 timing","4 Weeks","-3..3 days","TIM5"
"Week 6","P3D","Timing","e41a9f56-d336-480c-a744-a96e12bee7fa","Timing_6","P3D","P6W","Week 6 timing","6 Weeks","-3..3 days","TIM6"
"Week 8","P3D","Timing","db351a07-cf98-4aca-8680-c98523ce97eb","Timing_7","P3D","P8W","Week 8 timing","8 Weeks","-3..3 days","TIM7"
"Week 12","P4D","Timing","0ee0b0ff-abf9-441e-ad23-ced12b9db2bf","Timing_9","P4D","P12W","Week 12 timing","12 Weeks","-4..4 days","TIM9"
"Week 16","P4D","Timing","f7ed5c43-1194-4c0d-ad51-623ee322173f","Timing_11","P4D","P16W","Week 16 timing","16 Weeks","-4..4 days","TIM11"
"Week 20","P4D","Timing","d1e586e5-919b-4e36-9553-5331f2d342c2","Timing_13","P4D","P20W","Week 20 timing","20 Weeks","-4..4 days","TIM13"
"Week 24","P4D","Timing","37b20e5b-f902-4183-a24b-7ff9662b0d7b","Timing_15","P4D","P24W","Week 24 timing","24 Weeks","-4..4 days","TIM15"
"Week 26","P3D","Timing","b08f09ce-4c79-4661-8f7e-bcbf5234d47a","Timing_16","P3D","P26W","Week 26 timing","26 Weeks","-3..3 days","TIM16"
"Week 8 Home","","Timing","02465722-8d47-4db8-9a3d-f44bb6f2db47","Timing_8","","P2W","Week 8 at home timing","2 Weeks","","TIM8"
"Week 12 Home","","Timing","fc909045-6083-412d-867e-a4b63d6a8626","Timing_10","","P2W","Week 12 at home timing","2 Weeks","","TIM10"
"Week 16 Home","","Timing","be0f5ec3-4b23-437e-b2ed-b930cf9d3091","Timing_12","","P2W","Week 16 at home timing","2 Weeks","","TIM12"
"Week 20 Home","","Timing","d0e280bd-95d7-4aa9-97b3-a95d05b07df8","Timing_14","","P2W","Week 20 at home timing","2 Weeks","","TIM14"
"Adverse Event","","Timing","92a87a88-5c90-49d0-8203-bda0137ea8da","Timing_17","","P1D","Adverse Event","1 Day","","TIM17"
"Early Termination","","Timing","bee67ab5-b141-495e-8b57-b5fdc6b1aa11","Timing_18","","P1D","Early Termination","1 Day","","TIM18"
"Supine","","Timing","d009f7a7-4224-45a0-a756-f9fd9509bdc0","Timing_19","","PT0M","Supine","0 mins","","TIM19"
"VS while supine","","Timing","882d0415-95b5-41c7-b947-47926c16d066","Timing_20","","PT5M","VS while supine","5 mins","","TIM20"
"Standing","","Timing","80c0f822-d771-42c0-9214-70775789b74d","Timing_21","","PT0M","Standing","0 min","","TIM21"
"VS while standing","","Timing","dc3e5cb6-1863-4d75-b80c-b8aab116b825","Timing_22","","PT1M","VS while standing","1 min","","TIM22"
"Standing","","Timing","aa183f09-0279-4e86-8399-8503047715b1","Timing_23","","PT0M","Standing","0 min","","TIM23"
"VS while standing","","Timing","669c5f50-6ffd-44a4-99cb-7497bd328092","Timing_24","","PT2M","VS while standing","2 min","","TIM24"
