"name","description","label","uuid:ID","instanceType","id"
"SCREEN1","-","Screen One","a1c4e824-452f-4b32-a1e8-464eb179d556","ScheduledActivityInstance","ScheduledActivityInstance_9"
"SCREEN2","-","Screen Two","1e98aeea-0be0-41ae-9dd4-4f16f0eb0d17","ScheduledActivityInstance","ScheduledActivityInstance_10"
"DOSE","-","Dose","a51e864d-f799-4b37-90ed-7bc0bcae5085","ScheduledActivityInstance","ScheduledActivityInstance_11"
"WK2","-","Week 2","4ae2346b-a4c9-422d-87e3-556cbc7bfa62","ScheduledActivityInstance","ScheduledActivityInstance_12"
"WK4","-","Week 4","e342666a-5f2d-4b05-944e-fa3df400fca5","ScheduledActivityInstance","ScheduledActivityInstance_13"
"WK6","-","Week 6","288cdf69-c883-44ce-991b-62dbfcf5172e","ScheduledActivityInstance","ScheduledActivityInstance_14"
"WK8","-","Week 8","2cc655d3-3e72-4f98-a1f8-148d76bf5e18","ScheduledActivityInstance","ScheduledActivityInstance_15"
"WK8N","-","Week NPI","168af702-73ff-434f-8383-210c17fd1f86","ScheduledActivityInstance","ScheduledActivityInstance_16"
"WK12","-","Week 12","aa005aff-c7ea-42ba-bf5a-48afccdd9d26","ScheduledActivityInstance","ScheduledActivityInstance_17"
"WK12N","-","Week 12 NPI","be4185fc-0360-4ebb-ac15-fb26ed58631c","ScheduledActivityInstance","ScheduledActivityInstance_18"
"WK16","-","Week 16","1601e336-efa8-4472-860c-c9dbc19d3240","ScheduledActivityInstance","ScheduledActivityInstance_19"
"WK16N","-","Week 16 NPI","f7ac9cd3-24b2-4408-b44f-437b598258b6","ScheduledActivityInstance","ScheduledActivityInstance_20"
"WK20","-","Week 20","4faf4a17-24a1-4974-a7c4-1384121020e8","ScheduledActivityInstance","ScheduledActivityInstance_21"
"WK20N","-","Week 20 NPI","34930975-dd10-41c7-9e41-017690564b85","ScheduledActivityInstance","ScheduledActivityInstance_22"
"WK24","-","Week 24","b679d25c-1a49-4650-862f-7a93555fe4cd","ScheduledActivityInstance","ScheduledActivityInstance_23"
"WK26","-","Week 26","6749608b-63ce-42c0-aba4-02c8b6fee4fe","ScheduledActivityInstance","ScheduledActivityInstance_24"
"AE","-","Adevers Event","d42b6158-40f1-40da-9dde-1e5a82b7e69a","ScheduledActivityInstance","ScheduledActivityInstance_1"
"ET","-","Early Termination","fea4bc53-125c-47db-b805-913f3ba7e770","ScheduledActivityInstance","ScheduledActivityInstance_2"
"VS_5MIN","","5 minute supine","ec30b499-b2f5-41b2-a0d6-b2e7f7178d8c","ScheduledActivityInstance","ScheduledActivityInstance_3"
"VS_SUPINE","","Vital signs supine","8b4ae835-90c1-454f-81df-538bf050a795","ScheduledActivityInstance","ScheduledActivityInstance_4"
"VS_1MIN","","1 minute standing","7c18bbe6-502b-41ba-aac8-b02b59253b8c","ScheduledActivityInstance","ScheduledActivityInstance_5"
"VS_STAND1","","Vital signs after 1 min standing","36bf48c5-d219-4171-8589-895e11612469","ScheduledActivityInstance","ScheduledActivityInstance_6"
"VS_2MIN","","2 minute standing","77fadd13-d628-4d9b-9227-2e983ea24913","ScheduledActivityInstance","ScheduledActivityInstance_7"
"VS_STAND3","","Vital signs after 3 min standing","3e038d02-5c51-4c58-b602-37f737822b6c","ScheduledActivityInstance","ScheduledActivityInstance_8"
