"name","description","value","windowLower","label","uuid:ID","windowLabel","instanceType","id","windowUpper","valueLabel"
"TIM1","Screening timing","P2W","","Screening","5dc6d43f-137a-44ee-9242-0a46af623589","","Timing","Timing_1","","2 weeks"
"TIM2","Pre dose timing","P2D","PT4H","Pre dose","bf78cd6e-af18-4502-8c49-296be67452e1","-4..0 hours","Timing","Timing_2","PT0H","2 days"
"TIM3","Dosing anchor","P1D","","Dosing","e2e780d4-8b00-4585-a1d6-1266ed99b952","","Timing","Timing_3","","1 Day"
"TIM4","Week 2 timing","P2W","P3D","Week 2","aec27c79-de6e-4f4a-9417-83d2764c0722","-3..3 days","Timing","Timing_4","P3D","2 Weeks"
"TIM5","Week 4 timing","P4W","P3D","Week 4","0ce9de65-3be2-467e-95a4-8190704d75dc","-3..3 days","Timing","Timing_5","P3D","4 Weeks"
"TIM6","Week 6 timing","P6W","P3D","Week 6","a29eeff0-b587-4382-8b1e-4a5301ce82d9","-3..3 days","Timing","Timing_6","P3D","6 Weeks"
"TIM7","Week 8 timing","P8W","P3D","Week 8","bac4f005-c278-4a18-b0f2-52431a1f4287","-3..3 days","Timing","Timing_7","P3D","8 Weeks"
"TIM9","Week 12 timing","P12W","P4D","Week 12","359df898-50eb-4bf5-a645-92988d5e89c6","-4..4 days","Timing","Timing_9","P4D","12 Weeks"
"TIM11","Week 16 timing","P16W","P4D","Week 16","f27ec192-c465-4112-863d-bd761e7e9b9c","-4..4 days","Timing","Timing_11","P4D","16 Weeks"
"TIM13","Week 20 timing","P20W","P4D","Week 20","ca941d56-9dd8-4bde-a4f4-6fac3e99e664","-4..4 days","Timing","Timing_13","P4D","20 Weeks"
"TIM15","Week 24 timing","P24W","P4D","Week 24","76750eba-0030-4777-a898-5fe5a0f7e683","-4..4 days","Timing","Timing_15","P4D","24 Weeks"
"TIM16","Week 26 timing","P26W","P3D","Week 26","c3f339e3-b904-4551-99ae-3df18e1184bd","-3..3 days","Timing","Timing_16","P3D","26 Weeks"
"TIM8","Week 8 at home timing","P2W","","Week 8 Home","e0834873-7c54-464a-9efd-5909652be8fd","","Timing","Timing_8","","2 Weeks"
"TIM10","Week 12 at home timing","P2W","","Week 12 Home","fd8d6e36-ff7c-4247-a927-54f50b14c380","","Timing","Timing_10","","2 Weeks"
"TIM12","Week 16 at home timing","P2W","","Week 16 Home","91a57e3f-327f-4e5c-9c59-3fb45a2a88dc","","Timing","Timing_12","","2 Weeks"
"TIM14","Week 20 at home timing","P2W","","Week 20 Home","ca4982da-9409-4fdc-bdaa-81c9726ed210","","Timing","Timing_14","","2 Weeks"
"TIM17","Adverse Event","P1D","","Adverse Event","d92f65c4-c773-4e54-a192-d8b04e1e1952","","Timing","Timing_17","","1 Day"
"TIM18","Early Termination","P1D","","Early Termination","8273071e-8245-4bde-96bf-f292df70b50c","","Timing","Timing_18","","1 Day"
"TIM19","Supine","PT0M","","Supine","b36d5b3a-7abb-4768-92f5-c945436cff86","","Timing","Timing_19","","0 mins"
"TIM20","VS while supine","PT5M","","VS while supine","1b9e5687-4a2f-44b7-a0cc-c4fbc8ba8fb8","","Timing","Timing_20","","5 mins"
"TIM21","Standing","PT0M","","Standing","6173a7c2-5d46-41d0-8106-3d4187a89175","","Timing","Timing_21","","0 min"
"TIM22","VS while standing","PT1M","","VS while standing","28843779-272b-4351-a09d-bf14947574b7","","Timing","Timing_22","","1 min"
"TIM23","Standing","PT0M","","Standing","7acdf305-965b-4b7f-a6b0-cf917681fea3","","Timing","Timing_23","","0 min"
"TIM24","VS while standing","PT2M","","VS while standing","7249a07a-8115-4c66-9cab-18ba93bc666c","","Timing","Timing_24","","2 min"
