"label","name","instanceType","uuid:ID","reference","synonyms","id"
"Informed Consent Obtained","Informed Consent Obtained","BiomedicalConcept","1326182a-2685-4c0a-a544-3c0f24e06f73","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20"
"Sex","Sex","BiomedicalConcept","24f40bf2-55eb-45ff-b572-bdd5e4d29aed","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept_21"
"Race","Race","BiomedicalConcept","43f72a55-9f7a-45be-9b68-b9bb3a51da66","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept_22"
"Temperature","Temperature","BiomedicalConcept","5f58bfd7-7a11-4554-b1bb-1fbca80e35a2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept_23"
"Weight","Weight","BiomedicalConcept","048026f8-5955-40fa-b4e5-ec91a5305443","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept_24"
"Height","Height","BiomedicalConcept","9113d17a-c942-44df-b7b6-78764ac18ece","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept_25"
"Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","0054df9a-09eb-4844-89b1-d321cca526da","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26"
"Albumin Presence in Urine","Albumin Presence in Urine","BiomedicalConcept","0af9253c-c63f-4085-bab8-490045c1be32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27"
"Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","4a529900-f39d-4430-bb17-103e71952956","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28"
"Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","189d4797-a4c5-4b49-9659-6059364057aa","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29"
