"text","label","name","description","instanceType","uuid:ID","purpose","id"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","END1","","Endpoint","34721f21-8375-4784-a6aa-b07b27877733","","Endpoint_1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","END2","","Endpoint","9b43ec1b-def7-4a2c-a6f8-58064fb42257","","Endpoint_2"
"Adverse events","","END3","","Endpoint","b7f1a7d0-a49d-4ffb-a407-ec015d718c3e","","Endpoint_3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","","END4","","Endpoint","56b8767b-9bff-4f84-83b0-eb67674b3942","","Endpoint_4"
"Laboratory evaluations (Change from Baseline)","","END5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","70884bb0-fc44-4899-b678-37774da0ca8d","","Endpoint_5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","END6","","Endpoint","737114e2-e461-450d-a696-4cda3969b092","","Endpoint_6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","END7","","Endpoint","783e0f51-b590-4626-ae53-24f0bfe1ec0e","","Endpoint_7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","END8","","Endpoint","9d673243-b50a-40f7-9471-e9f3c90137b0","","Endpoint_8"
"*** To be determined from protocol ***","","END9","","Endpoint","730781af-b58d-4259-bdf3-2661741f2f94","","Endpoint_9"
"*** To be determined from protocol ***","","END10","","Endpoint","ccacb137-9f25-4e4e-a9a1-671fcc7e0634","","Endpoint_10"
"*** To be determined from protocol ***","","END11","","Endpoint","f1eb3949-ffa8-4f59-a4ae-5386456bf40d","","Endpoint_11"
