"name","instanceType","label","description","uuid:ID","id"
"E1","Encounter","Screening 1","Screening encounter","53f6bca4-9f4b-430e-ae73-1a330acb1a3e","Encounter_1"
"E2","Encounter","Screening 2","Screening encounter - Ambulatory ECG Placement","e4a2cf54-3144-4256-8cf1-a8038942f425","Encounter_2"
"E3","Encounter","Baseline","Baseline encounter - Ambulatory ECG Removal","1244f46d-3e12-42fa-bb18-553aeaf93e83","Encounter_3"
"E4","Encounter","Week 2","Day 14","0c5306e2-1e07-4f23-a032-a38d4015f2f1","Encounter_4"
"E5","Encounter","Week 4","Day 28","b68373a2-75f9-460d-8c30-49155bb9f642","Encounter_5"
"E7","Encounter","Week 6","Day 42","81583590-d0fa-4c78-897f-e112262cca03","Encounter_6"
"E8","Encounter","Week 8","Day 56","d6b069af-ce02-4fba-a016-343b2c5d5f07","Encounter_7"
"E9","Encounter","Week 12","Day 84","ffc92d3d-0e2d-4a19-a0d6-0498b2fd32a2","Encounter_8"
"E10","Encounter","Week 16","Day 112","21280422-4710-4c3a-a957-7a643ab11d9c","Encounter_9"
"E11","Encounter","Week 20","Day 140","379da287-6081-4a1c-9282-5f6ddbd66f62","Encounter_10"
"E12","Encounter","Week 24","Day 168","cb55e71d-0c98-409c-ab6f-e8f53db0b772","Encounter_11"
"E13","Encounter","Week 26","Day 182","718c49de-b3ed-4c1c-81c3-83f7e8ec0b6a","Encounter_12"
