"name","purpose","instanceType","label","description","uuid:ID","text","id"
"END1","","Endpoint","","","5c1d2844-c799-486c-a19b-d3e31ba04689","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1"
"END2","","Endpoint","","","9a1062bc-76d4-4a7b-9331-e71262b10794","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2"
"END3","","Endpoint","","","8386f396-8f07-4afb-a958-e8f562b52af7","Adverse events","Endpoint_3"
"END4","","Endpoint","","","593637cd-c12b-4ef2-8bad-0af8bb62ffd4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4"
"END5","","Endpoint","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","88b2e816-3827-4fc8-8903-a460404e5d05","Laboratory evaluations (Change from Baseline)","Endpoint_5"
"END6","","Endpoint","","","5658506f-659d-4479-a8bc-4c682a28c124","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6"
"END7","","Endpoint","","","72d2a650-70ec-4946-bb37-7a909e119642","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7"
"END8","","Endpoint","","","5b27b7ee-ec33-425a-8a9d-1da8f00d34b2","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8"
"END9","","Endpoint","","","11f70b87-03b2-4065-af9b-5798e8aa94a3","*** To be determined from protocol ***","Endpoint_9"
"END10","","Endpoint","","","45b031e0-0162-476f-b7ce-d359e36fd0d5","*** To be determined from protocol ***","Endpoint_10"
"END11","","Endpoint","","","b7cc8057-12bd-4c23-a0ea-773ace63a20e","*** To be determined from protocol ***","Endpoint_11"
