"label","instanceType","uuid:ID","id","description","name"
"Informed consent","Activity","17e1fd6e-8f75-4a31-a53e-0b25702f08f3","Activity_1","","Informed consent"
"Inclusion and exclusion criteria","Activity","99b8de1e-b6a1-43c0-bdf3-c2332ad286b0","Activity_2","","Inclusion/exclusion criteria"
"Patient number assigned","Activity","3b0c8de0-b3a3-4a9a-8950-cc45e0f2acb4","Activity_3","","Patient number assigned"
"Demographics","Activity","feedd9d4-acd3-424f-85c8-37c35a36f669","Activity_4","","Demographics"
"Hachinski Ischemic Scale","Activity","b94badfc-b067-498e-8b35-8f244aa7b235","Activity_5","","Hachinski"
"MMSE","Activity","c4b35a28-95bf-49af-af74-b9b8c15b6451","Activity_6","","MMSE"
"Physical examination","Activity","d4dab3ca-19ef-4925-983c-a197bac4e292","Activity_7","","Physical examination"
"Medical history","Activity","95029988-e287-4d57-b3ac-aae65b35ea9f","Activity_8","","Medical history"
"Habits","Activity","3e6210ec-23a1-46ee-b705-4e93e124afcc","Activity_9","","Habits"
"Chest X-ray","Activity","124cec4d-ca80-4e70-ae4e-bd28833a457a","Activity_10","","Chest X-ray"
"Apo E genotyping","Activity","8d17e169-0a7e-4e73-8077-ca8513c4751c","Activity_11","","Apo E genotyping"
"Patient randomised","Activity","696b695d-eb52-44e1-b749-d310483ed3e2","Activity_12","","Patient randomised"
"Vital Signs and Temperature","Activity","326c7567-2650-4eb6-b9ec-2922da694be6","Activity_13","","Vital signs / Temperature"
"Ambulatory ECG placed","Activity","39b8a6fc-4b03-484b-bf3c-9932f843a3aa","Activity_14","","Ambulatory ECG placed"
"Ambulatory ECG removed","Activity","e42ef707-82f8-4e2d-972d-9166644e935e","Activity_15","","Ambulatory ECG removed"
"ECG","Activity","5e378dbf-7abb-4333-96f0-2587bceb93ec","Activity_16","","ECG"
"Placebo TTS test","Activity","ba9ba76d-d831-4eea-aade-3f1b70d8b9f5","Activity_17","","Placebo TTS test"
"CT scan","Activity","9937f9a8-bd79-4cca-9132-aa20e178db02","Activity_18","","CT scan"
"Concomitant medications","Activity","3cbe0d35-94fa-495e-9f3c-8f09bda34e53","Activity_19","","Concomitant medications"
"Hematology","Activity","aa6dee9f-76c1-44be-bad4-4c6fd73c7638","Activity_20","","Hematology"
"Chemistry","Activity","059d3a15-59f0-4573-a099-aaba24cdb849","Activity_21","","Chemistry"
"Uninalysis","Activity","bbcca535-799a-43c7-b7c5-84fe8f42fca0","Activity_22","","Uninalysis"
"Plasma Specimen (Xanomeline)","Activity","3f5a0987-bd02-4a86-8cbf-e3c5889a81c4","Activity_23","","Plasma Specimen (Xanomeline)"
"Hemoglobin A1C","Activity","ea141b87-ccd6-49a7-bc97-d247187541c3","Activity_24","","Hemoglobin A1C"
"Study drug record , Medications dispensed, Medications returned","Activity","766ff90d-8cfc-49fe-a443-9a5cf1d713cd","Activity_25","","Study drug"
"TTS Acceptability Survey","Activity","ff2d7210-2376-44ea-bd96-7d82c6e1bb5f","Activity_26","","TTS Acceptability Survey"
"ADAS-Cog","Activity","49a3e722-b0b0-48d9-9bed-829f00863998","Activity_27","","ADAS-Cog"
"CIBIC+","Activity","de798cc5-d57f-4d3e-bf65-6e5ef88d9cb0","Activity_28","","CIBIC+"
"DAD","Activity","9e918b95-fee2-4ee9-ba07-1d0148e90aae","Activity_29","","DAD"
"NPI-X","Activity","6d262ebc-7402-4708-8871-ceac4e5c0b0a","Activity_30","","NPI-X"
"Adverse events","Activity","7190b4fa-8bc6-4d32-825a-30528129cd96","Activity_31","","Adverse events"
"Check adverse events","Activity","17e73170-7176-4f9e-ac1d-cc0ad00f71a5","Activity_32","","Check adverse events"
"Subject supine","Activity","de3e2524-f532-4f65-8439-940f0f789c18","Activity_33","","Supine"
"Vital signs while supine","Activity","8d327c2b-3516-4d1d-8967-08107decd7d0","Activity_34","","Vital Signs Supine"
"Subject Standing","Activity","8fc717ba-dcd5-4243-84cd-bb8e0a0e00c0","Activity_35","","Stand"
"Vital signs while standing","Activity","e5821cd8-fe8f-4e48-aa5b-e62d2b483dd3","Activity_36","","Vital Signs Standing"
