"label","instanceType","uuid:ID","id","synonyms","reference","name"
"Informed Consent Obtained","BiomedicalConcept","cfa756c2-2854-493e-9c0d-9b031a5f0e92","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained"
"Sex","BiomedicalConcept","e318211f-2b41-461a-b608-a4b15a0c9483","BiomedicalConcept_21","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex"
"Race","BiomedicalConcept","16b10ae6-2abe-4c91-9c30-9e005c03edfe","BiomedicalConcept_22","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race"
"Temperature","BiomedicalConcept","02366601-40ed-4711-92cb-5b4f01c0f294","BiomedicalConcept_23","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature"
"Weight","BiomedicalConcept","e0cdba81-91ec-4432-9eec-c24893c5cf05","BiomedicalConcept_24","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight"
"Height","BiomedicalConcept","9ee90d83-f993-4bec-b26a-a717632bde2c","BiomedicalConcept_25","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","3f203a04-b6e5-4bb0-b9a9-0515876b63d5","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma"
"Albumin Presence in Urine","BiomedicalConcept","ec7b2199-387c-4ce2-b222-7bfdd92fbd0f","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","21a278fd-7a7c-4055-b621-2964a6b5c6cb","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","635d921f-ffe6-4ac5-95fc-95a14fc36dff","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma"
