"text","instanceType","uuid:ID","id","name"
"Subject identifier","TransitionRule","5f1b033d-a79c-4153-838a-6a65fd6975e6","TransitionRule_1","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule","b1874745-a268-4596-9a3a-6b964e513f27","TransitionRule_2","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","2f9ba125-e95b-4e0f-b6a9-ebde0808ca91","TransitionRule_3","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule","74d27f0b-28bd-4a32-ae73-1722c73c87bc","TransitionRule_4","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule","514417a4-4426-44b5-b0b4-d57d9e3bae3d","TransitionRule_5","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule","4a071d2d-6b52-4479-bde5-866e3736dd3b","TransitionRule_6","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule","8dfe3977-f85f-4570-b385-92c27d267b52","TransitionRule_7","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","33695759-4266-4105-8607-860e98bc5a85","TransitionRule_8","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule","c4406c07-3334-417d-8461-f63ee4493aac","TransitionRule_9","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule","6d564ddc-92ed-4d5f-9e0c-59afa3f49bed","TransitionRule_14","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","fddeb18e-5966-4011-8eac-9b5aee80aaca","TransitionRule_15","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule","0db5f983-b377-41cb-9a98-837fcc484c9b","TransitionRule_10","ELEMENT_START_RULE_3"
"Randomized","TransitionRule","156f336c-aa77-4638-bad0-70e1bdfb9b4c","TransitionRule_11","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule","097715df-c172-4378-992a-9102c8d9b94b","TransitionRule_12","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule","7db86cfb-4deb-485f-a987-5240c6d80e0a","TransitionRule_13","ELEMENT_START_RULE_6"
