"name","id","uuid:ID","description","purpose","label","text","instanceType"
"END1","Endpoint_1","59f9b3d5-76cd-4863-9825-fdbc2c74868c","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint"
"END2","Endpoint_2","70f39cb7-27fc-4f28-89b3-55561312cdfe","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint"
"END3","Endpoint_3","c3981163-1b59-4674-8940-cb8813c6fd9c","","","","Adverse events","Endpoint"
"END4","Endpoint_4","f73b88e2-c573-40e9-b86d-842d1f0036e5","","","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint"
"END5","Endpoint_5","bca77798-5eb3-481d-a05e-e7b2b0dbb190","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","","Laboratory evaluations (Change from Baseline)","Endpoint"
"END6","Endpoint_6","ffa94649-25aa-47e8-924e-17117b6dc8df","","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint"
"END7","Endpoint_7","131da75d-17a4-43d1-807e-30edf8a49a8a","","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint"
"END8","Endpoint_8","b8bb528d-51a3-413b-8a47-430dc1bc8d9a","","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint"
"END9","Endpoint_9","fc6a47df-05c0-4df2-b640-50011bb347c9","","","","*** To be determined from protocol ***","Endpoint"
"END10","Endpoint_10","fff21dd6-071d-4c6c-a9aa-7cff6cad6461","","","","*** To be determined from protocol ***","Endpoint"
"END11","Endpoint_11","eb44bac1-e994-4552-8e23-90f2d895f659","","","","*** To be determined from protocol ***","Endpoint"
