"uuid:ID","name","instanceType","label","id","identifier","text","description"
"fd9988d7-c2fd-4df4-8116-a916d3849a13","IN01","EligibilityCriterion","Age greater than 50","EligibilityCriterion_1","01","<p>Males and postmenopausal females at least <usdm:tag name=""min_age""/> years of age.</p>",""
"772cb6cf-c164-47e5-bf46-df6439beba9c","IN02","EligibilityCriterion","Diagnosis of Alzheimer's","EligibilityCriterion_2","02","<p><usdm:tag name=""StudyPopulation""/> as defined by National Institute of Neurological and Communicative Disorders and Stroke (NINCDS) and the Alzheimer's Disease and Related Disorders Association (ADRDA) guidelines (Attachment LZZT.7).</p>",""
"d71805fa-26ae-41a7-bc4c-4f12ff742652","IN03","EligibilityCriterion","MMSE Score","EligibilityCriterion_3","03","<p><usdm:tag name=""Activity1""/> score of 10 to 23.</p>",""
"42bd81e8-fc8b-4086-a3e6-f97a6c381ac4","IN04","EligibilityCriterion","Hachinski Ischemic Score","EligibilityCriterion_4","04","<p><usdm:tag name=""Activity2""/>  score of ≤4 (Attachment LZZT.8).</p>",""
"267ebc91-7494-4265-b9e2-30d15f2856f1","IN05","EligibilityCriterion","CNS imaging comptaible with Alzheimer's","EligibilityCriterion_5","05","<p>CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.</p>
<p>The following findings are incompatible with AD:</p>
<ol type=""a"">
  <li>
    <p>Large vessel strokes</p>
    <ol>
      <li>
        <p>Any definite area of encephalomalacia consistent with ischemic necrosis in any cerebral artery territory.</p>
      </li>
      <li>
        <p>Large, confluent areas of encephalomalacia in parieto-occipital or frontal regions consistent with watershed
          infarcts.</p>
        <p>The above are exclusionary. Exceptions are made for small areas of cortical asymmetry which may represent a
          small cortical stroke or a focal area of atrophy provided there is no abnormal signal intensity in the
          immediately underlying parenchyma. Only one such questionable area allowed per scan, and size is restricted to
          ≤1cm in frontal/parietal/temporal cortices and ≤2 cm in occipital cortex.</p>
      </li>
    </ol>
  </li>
  <li>
    <p>Small vessel ischemia</p>
    <ol>
      <li>
        <p>Lacunar infarct is defined as an area of abnormal intensity seen on CT scan or on both T1 and T2 weighted MRI
          images in the basal ganglia, thalamus or deep white matter which is ≤1 cm in maximal diameter. A maximum of
          one
          lacune is allowed per scan.</p>
      </li>
      <li>
        <p>Leukoariosis or leukoencephalopathy is regarded as an abnormality seen on T2 but not T1 weighted MRIs, or on
          CT. This is accepted if mild or moderate in extent, meaning involvement of less than 25% of cortical white
          matter.
      </li>
    </ol>
  </li>
  <li>
    <p>Miscellaneous</p>
    <ol>
      <li>
        <p>Benign small extra-axial tumors (ie, meningiomas) are accepted if they do not contact or indent the brain
          parenchyma.</p>
      </li>
      <li>
        <p>Small extra-axial arachnoid cysts are accepted if they do not indent or deform the brain parenchyma.</p>
      </li>
    </ol>
  </li>
</ol>",""
"612fc60c-798e-43dc-8ee5-4adf7a839121","IN06","EligibilityCriterion","Informed consent criteria","EligibilityCriterion_6","06","<p>Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.</p>",""
"67dc0c76-6939-48a3-81b6-0e7296dd67c8","IN07","EligibilityCriterion","Geographic proximity criteria","EligibilityCriterion_7","07","<p>Geographic proximity to investigator's site that allows adequate follow-up.</p>",""
"fdae44d1-445b-457a-a1b9-82efa9e8c973","IN08","EligibilityCriterion","Reliable caregiver criteria","EligibilityCriterion_8","08","<p>A reliable caregiver who is in frequent or daily contact with the patient and who will accompany the patient to the office and/or be available by telephone at designated times, will monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home. The caregiver and the patient must be able to communicate in English and willing to comply with 26 weeks of transdermal therapy.</p>",""
"736a2420-185f-40fb-a8a6-e9c031c068b9","EX01","EligibilityCriterion","Previous study criteria","EligibilityCriterion_9","09","<p>Persons who have previously completed or withdrawn from this study or any other study investigating xanomeline TTS or the oral formulation of xanomeline.</p>",""
"9a66aa10-1b33-4f9b-844f-7f7721189f02","EX02","EligibilityCriterion","Other Alzheimer's therapy criteria","EligibilityCriterion_10","10","<p>Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.</p>",""
