"uuid:ID","name","instanceType","label","id","description"
"afb0200a-34a0-4eea-bc5b-235d74335943","E1","Encounter","Screening 1","Encounter_1","Screening encounter"
"1f9c5297-dceb-4163-8e45-a819469de2b2","E2","Encounter","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement"
"ec09bcb7-6ed6-456b-a4f3-bb56c4e04fea","E3","Encounter","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal"
"0c4506bc-4306-4a61-ac49-7ad478d682a0","E4","Encounter","Week 2","Encounter_4","Day 14"
"884dbdb3-f768-492a-90be-83bf0285b772","E5","Encounter","Week 4","Encounter_5","Day 28"
"ea744ae9-1767-44c8-a6b1-1cebe4d0ba2f","E7","Encounter","Week 6","Encounter_6","Day 42"
"d0c742a3-5fc0-44eb-9fc4-4b7217bc35a1","E8","Encounter","Week 8","Encounter_7","Day 56"
"c43cc8b8-60b8-4398-afe9-0a2a71aafb05","E9","Encounter","Week 12","Encounter_8","Day 84"
"836d6994-8be9-40f8-a6db-2b2818bc5f23","E10","Encounter","Week 16","Encounter_9","Day 112"
"94a2a103-c120-49dd-ae90-2c910737fe0a","E11","Encounter","Week 20","Encounter_10","Day 140"
"1d002801-a110-47d8-ad91-7a4a316796a6","E12","Encounter","Week 24","Encounter_11","Day 168"
"a4bf669c-89e1-48c6-9bb6-0a6d366141eb","E13","Encounter","Week 26","Encounter_12","Day 182"
