"uuid:ID","valueLabel","name","value","windowLower","windowUpper","windowLabel","instanceType","label","id","description"
"c035fcac-310a-459c-9045-691503cea534","2 weeks","TIM1","P2W","","","","Timing","Screening","Timing_1","Screening timing"
"2a72ad5f-6711-4774-b9da-ddba181fe776","2 days","TIM2","P2D","PT4H","PT0H","-4..0 hours","Timing","Pre dose","Timing_2","Pre dose timing"
"c2432d18-64ed-4b07-a06b-8b379b89e6cd","1 Day","TIM3","P1D","","","","Timing","Dosing","Timing_3","Dosing anchor"
"386b9096-3834-41b7-8245-33899b2393a7","2 Weeks","TIM4","P2W","P3D","P3D","-3..3 days","Timing","Week 2","Timing_4","Week 2 timing"
"6bc84adf-fe82-4d9b-9717-f865404f0d75","4 Weeks","TIM5","P4W","P3D","P3D","-3..3 days","Timing","Week 4","Timing_5","Week 4 timing"
"f0703711-8bce-470b-85db-741404175511","6 Weeks","TIM6","P6W","P3D","P3D","-3..3 days","Timing","Week 6","Timing_6","Week 6 timing"
"9355b2f7-18d5-4601-a4c1-62bb2e28e385","8 Weeks","TIM7","P8W","P3D","P3D","-3..3 days","Timing","Week 8","Timing_7","Week 8 timing"
"e51d694a-05c9-4524-bfae-a56afa37a3e5","12 Weeks","TIM9","P12W","P4D","P4D","-4..4 days","Timing","Week 12","Timing_9","Week 12 timing"
"c3849c31-2d68-4432-b7a9-92e2773e7089","16 Weeks","TIM11","P16W","P4D","P4D","-4..4 days","Timing","Week 16","Timing_11","Week 16 timing"
"3df24b9a-566c-46e1-ac15-a3bf9c326495","20 Weeks","TIM13","P20W","P4D","P4D","-4..4 days","Timing","Week 20","Timing_13","Week 20 timing"
"19bf4c74-9947-499d-991c-89df18dd6467","24 Weeks","TIM15","P24W","P4D","P4D","-4..4 days","Timing","Week 24","Timing_15","Week 24 timing"
"d5dcb63e-b07c-4346-85d3-cd8e4ae96c54","26 Weeks","TIM16","P26W","P3D","P3D","-3..3 days","Timing","Week 26","Timing_16","Week 26 timing"
"6d7ec09f-7c0b-4fcf-9f0d-b4fd4b1b349f","2 Weeks","TIM8","P2W","","","","Timing","Week 8 Home","Timing_8","Week 8 at home timing"
"f43399ba-4859-4c82-ad9a-55c7568450e8","2 Weeks","TIM10","P2W","","","","Timing","Week 12 Home","Timing_10","Week 12 at home timing"
"5028d6d4-a4b0-4b4c-8cb0-2043076c736b","2 Weeks","TIM12","P2W","","","","Timing","Week 16 Home","Timing_12","Week 16 at home timing"
"f42c9285-7a92-4681-b836-819923f4239c","2 Weeks","TIM14","P2W","","","","Timing","Week 20 Home","Timing_14","Week 20 at home timing"
"437a2b23-2648-414c-bf68-a8d5023f56ae","1 Day","TIM17","P1D","","","","Timing","Adverse Event","Timing_17","Adverse Event"
"fd8047dd-8eaa-43cf-b3ff-f626f8dbac44","1 Day","TIM18","P1D","","","","Timing","Early Termination","Timing_18","Early Termination"
"fb381e2b-053f-48b9-bf60-809633f065b3","0 mins","TIM19","PT0M","","","","Timing","Supine","Timing_19","Supine"
"06e3e7dc-4658-4810-9c0f-321d18192ad2","5 mins","TIM20","PT5M","","","","Timing","VS while supine","Timing_20","VS while supine"
"ada13af4-5cf9-40c3-a02f-4525cf21db91","0 min","TIM21","PT0M","","","","Timing","Standing","Timing_21","Standing"
"0dba4405-1679-402c-b6e6-bdf1c841b349","1 min","TIM22","PT1M","","","","Timing","VS while standing","Timing_22","VS while standing"
"b0241a28-4481-484b-b2c7-30f6ca94d260","0 min","TIM23","PT0M","","","","Timing","Standing","Timing_23","Standing"
"8fb07cf0-2d3b-42ed-a724-6c637e1aa6bb","2 min","TIM24","PT2M","","","","Timing","VS while standing","Timing_24","VS while standing"
