"uuid:ID","name","instanceType","id","text"
"cfe13d94-7a83-4e67-a07f-e724fa02391e","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1","Subject identifier"
"ff024407-8369-43d1-87b3-74bbd6e4618b","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2","completion of screening activities"
"abd96e03-7468-4b44-aa02-718659a949c5","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"ae86057a-737b-4d72-8d71-9edfe01e4e85","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"2998f527-97c6-4f10-8ba2-0765a145768a","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5","Radomized"
"f13f4aa7-c729-4d68-a041-db103ff7713c","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6","End of treatment"
"f1a8dd31-4cee-47e7-949d-5cbd4aed798a","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7","Informed consent"
"e1d50682-c683-4c9e-80be-a969530d1ead","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"bf59b916-7194-4578-8004-cbbd267fce26","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9","Administration of first dose"
"ebca844c-4037-47c7-ba8a-5d1293e3bd8d","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"01b8f1f4-db15-41a2-a386-0560d6210cbe","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"31ad4041-84e8-4f82-a95c-d16fa2d4b379","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10","Administration of first dose"
"8abf0046-0e5c-459f-b8c5-1530719fd6a5","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11","Randomized"
"24b85a08-ec8a-47c7-b9a6-26f3952b68bc","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"52ea10d9-d7ab-4e8d-acb7-189d6eef7ac0","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
